S,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
125,Tricheur,Nekfeu,343914,https://open.spotify.com/track/7C7GtWZmyicqjBDbAWPsCp
126,Carr? VIP,Naps,343783,https://open.spotify.com/track/1caMoxlA0lk9jDCLCXLEoe
127,Dans l'univers,Nekfeu,340968,https://open.spotify.com/track/2PYXOG6GdxF9sUIH2NfOAD
128,Candela,T Garcia,339331,https://open.spotify.com/track/5l6aJfUzKU78myjGA8ezh4
129,Gasolina (feat. Gambi),Hamza,337502,https://open.spotify.com/track/1Wfe6IKCZDWqKSXNmn2tvt
130,Open Up (feat. Lola Dubini),Matt Simons,336014,https://open.spotify.com/track/5rPLo5iQ3gCXarVEGeF9dB
131,Stupid Love,Lady Gaga,334852,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
132,Party Girl,StaySolidRocky,334128,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
133,Le dire (feat. Maes),DA Uzi,329663,https://open.spotify.com/track/1WxduRqYnmTCTsq0Vd4Npw
134,Que Calor (with J Balvin & El Alfa),Major Lazer,329634,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
135,Probl?mes,PLK,329617,https://open.spotify.com/track/6lZbLMHu98qpkOY0t3efUK
136,M?chant,Niska,328495,https://open.spotify.com/track/75bVc27bDSOAhMAL38cXpV
137,Week-end (feat. Leto),Timal,328422,https://open.spotify.com/track/793CoRrbz4REtL14m4SbgF
138,Imparfait,Maes,325880,https://open.spotify.com/track/2oA44GF1ypyWTH18HGLXIS
139,Pookie,Aya Nakamura,325663,https://open.spotify.com/track/2QpUWi6VSNOt2WyH5FIeLD
140,Never Let Me Down,VIZE,324308,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
141,H? OH,Gambi,323035,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9
