,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
136,Feel It Still,Portugal. The Man,239696,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
137,C'est pas bon,Abou Debeing,238707,https://open.spotify.com/track/3rSi8CHHz7V96AwRQbbjf6
138,N. J Respect R,Damso,235683,https://open.spotify.com/track/75UFzgBCaVwJJ4IVIaatpe
139,Mamacita,Ninho,231561,https://open.spotify.com/track/35gJuqfvrdlCA2MmAtaD3J
140,Tu reviendras,GIMS,230610,https://open.spotify.com/track/6NWKC2pTQXasVrnbV5hx4H
141,Bum Bum Tam Tam,MC Fioti,229829,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
142,Havana,Hayce Lemsi,227264,https://open.spotify.com/track/3WAKs2Rne0gHa9NR6LTZjU
143,Fume ? fond,Lorenzo,225718,https://open.spotify.com/track/2czusdWqk7MjrwGdQNDVNa
144,Basique,Orelsan,224760,https://open.spotify.com/track/2ICdvchXmDh5mdLyyL2opB
145,Laissez-moi tranquille,GIMS,224571,https://open.spotify.com/track/7jxhN8NCG6Xwbr8W8Eeq35
146,Dans le block,Naps,221714,https://open.spotify.com/track/09hmx6pSWkUqb2dC9mpUoq
147,Entre nous c'est mort,GIMS,220868,https://open.spotify.com/track/1JnH7vsegNif8k5LhSp0hG
148,Fuegolando,GIMS,220686,https://open.spotify.com/track/6ZD9WV9ryEo1iWYRabouYr
149,Avon Barksdale (feat. Ninho),Leto,220154,https://open.spotify.com/track/5tQbBkSMlwV6IqoM0sNFtl
150,Dommage,Bigflo & Oli,219957,https://open.spotify.com/track/0J2a0afQcr63ymGo5hKCDo
151,Perfect,Ed Sheeran,219286,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
152,Plug Walk,Rich The Kid,219099,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
153,A A A,PLK,219093,https://open.spotify.com/track/0X5wMt2ZETsPc33STHVkVf
154,Merci maman,GIMS,218051,https://open.spotify.com/track/3Zm9PVTjaChFyKVv5ewKhe
155,Mi Coraz?n,DJ Sem,216731,https://open.spotify.com/track/6flVMwes9WcpCyNGTTVJ2j
156,Pas besoin,PLK,213844,https://open.spotify.com/track/3puMy7huWJlZstjFbjeOYc
157,Gunshot,GIMS,213773,https://open.spotify.com/track/0p79TpkEt0B5bJKsQ9aQcs
158,Koussi koussa,Kalash,212531,https://open.spotify.com/track/2bN31IEckRU6jEj416ABvc
159,Anakin,GIMS,212229,https://open.spotify.com/track/6cZEA1Ujpxy4HEEb08hGQ2
160,Jour J,DJ Kayz,212058,https://open.spotify.com/track/5Ms2G7M5TU9XBpWg4eJgos
161,Mehdi,Marwa Loud,211331,https://open.spotify.com/track/3Bw08gS6I5WkXWZ8CZIWxd
162,Jusqu'au dernier gramme,PNL,211196,https://open.spotify.com/track/2jBleFNl3YK8lyJc1OvxXt
163,Platinum,PLK,211053,https://open.spotify.com/track/2Mlg28GIp89dCMeUd3aFti
164,Tout va bien,Orelsan,210225,https://open.spotify.com/track/7gmYDrNYV5AaTEnZo0yhtM
