,ArtistName,ArtistID,MusicID
142,Fuse ODG,374sWpAJsbZckf98df2jJJ,03EcqaAMg58r10dgbl0o6y
143,Mula B,6zEaCvF0CqEHs7kFyBkLHi,03IS2iOegM0fawq6wid44m
144,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,03It1uO69CjGWP3yyVe465
145,Nash,17aoRCzkZM3IFEbFqVCuX5,03JMjrsnUgeZNJ5yUJgWbL
146,Nimo,3ZuBEj9ppJe8GSdKaMTfMN,03MejMhKBHTeuvgiBTDUhL
147,Yaro,09E5z6upwkmwTKX8LGQgMo,03O32oEi0jJsbmcHMjCPBD
148,Hilltop Hoods,7dlqUnjoF2U2DkNDMhcgG4,03Pg5wDlaYAZlTNLeAfl2r
149,Jonna Fraser,5adKMaYrGOMyOfnbiLPuHg,03SXU2fYsqJRpiOGbff1s9
150,KALIM,2NJWI8byqTSqDaJRnqJY2z,03SfDYmOPflD23iTL5qjiq
151,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,03T4ttRCiLXST6MZjeMwmR
152,Lil Wayne,55Aa2cqylxrFIXC767Z865,03TzvVWdkVbLT9pzewYiDw
153,Dreamville,1iNqsUDUraNWrj00bqssQG,03XfngWwNfhEjrnEga73Rg
154,Damso,2UwqpfQtNuhBwviIC0f2ie,03aduXwm6cTqO9bb4XFQ2b
155,SCH,2kXKa3aAFngGz2P4GjG5w2,03cOUvF1fyW60AuUfUNiDc
156,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,03eJ2DclFWXYU8GWgANdmZ
157,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,03hqMhmCZiNKMSPmVabPLP
158,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,03i4lR6ZZo0214WhmrE8t9
159,BTS,3Nrfpe0tUJi4K4DXYWgMUX,03iCbZaM4OkRR4We6wIzvx
160,Scridge,6fYEeLBc96CguiLq9FPBQU,03jOPJpObfGDPUHdb8uLUe
161,iann dior,6ASri4ePR7RlsvIQgWPJpS,03m2VS3eYqKwbHvEykTYl5
162,Harry Styles,6KImCVD70vtIoJWnq6nGn3,03mMSLEJCPoGJwQhHpN5y0
163,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,03nPEoQOYMuDe7KmGljpmd
164,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,03o4HPzUwftpgAPNQSuaBS
165,TOOL,2yEwvVSSSUkcLeSTNyHKh8,03sEzk1VyrUZSgyhoQR0LZ
166,Headie One,6UCQYrcJ6wab6gnQ89OJFh,03snIuKJr5u7zpyp9zpQMU
167,Leto,6HCBnyTBSLdb3TFn2ayulY,03tc8CfxVQkeU49LV4tRxi
168,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,03vyB3AHCuEGfhh7wPc7Yf
169,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,03x2rVJRFUrvwlfxoHd9Mo
170,13 Block,7rTPCNINGzMp3Hc8Xqht5Z,03xpHogfjfi2uif4HZKOYd
171,Bhad Bhabie,7DuTB6wdzqFJGFLSH17k8e,042nVrQvpEVrsrW6yeeHB2
172,DVBBS,5X4LWwbUFNzPkEas04uU82,042x9bsUBWW2fJgJ6fUh61
173,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0440JCJyIAmINA8KcYgFb5
174,ADF Samski,5qeFPM2PZUCzcpkY4e4RC8,0441e6ieXItbPVUl5pNeVO
175,The xx,3iOvXCl6edW5Um0fXEBRXy,044qU7kwVZaDwzWnRsmVVL
176,Moha La Squale,4vtz0m60CCrcsQmqDunDIR,044vzxTq3zEHrcfd805NK2
177,Dustin Lynch,1dID9zgn0OV0Y8ud7Mh2tS,045SnNDjOfOLKM5OxARH4g
178,SFB,50mdotNCJ2PcoZiAgsh8dY,047xSG6BBbo0TYFiQ7Ps6i
179,Fredo,3rbtPd0NcvhO2AzMfzx90z,048rA2xbxWQ1lfurZl7nUQ
180,Lijpe,6INEFmHKLhMIJAQzHUBAMd,048uWGSGTnQhaZFjTCVPZX
181,Kaaris,1ntQKIMIgESKpKoNXVBvQg,04B2aL2KfXGu2ioE30BdjH
182,Lacrim,7DUTsWY3RBd64vh8UtgtYA,04CbLJRm3XwOsGZt8mDqbj
183,Hearts & Colors,3wjsrpfO6odEphTZWx45RQ,04CttTezSnv71USiiG9mIo
184,Ninho,6Te49r3A6f5BiIgBRxH7FH,04DQPJA3FWKdIvDaMsnMdv
185,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,04DwTuZ2VBdJCCC5TROn7L
186,Tess,5r8cx09Wdz9YeIbDhzfnna,04DysC7XwYiKJqYwGM8mkU
187,SIRUP,1HzcHe0WFm4koBalCEOkVh,04EuDx4WKmkN9NyZ6kk5lj
188,Sido,4Yttlv9ndGjCDCVLqM7ACq,04LQiWCNfZg4NONh8IcCyt
189,Frenna,6m1LYS5NQonxjOcQFPQOb5,04LTgSJevLUTzAIeR1N2Jy
190,French Montana,6vXTefBL93Dj5IqAWq6OTv,04MLEeAMuV9IlHEsD8vF6A
191,Aliyah,7E7VmEW6CxpkGNipjVQywD,04MtrOLTMR7GhQbQ7AYrjy
