01vv2AjxgP4uUyb8waYO5Y,Trench,0.0747,0.734,0.607,0.000577,0.0968,-7.249,0,0.0806,90.023,4,0.518
01z2fBGB8Hl3Jd3zXe4IXR,Swimming,0.89,0.272,0.238,0.00925,0.275,-12.148,0,0.0349,83.507,4,0.119
020wG4EHTwBy5h2rbpxqvK,Persona,0.0686,0.656,0.661,0,0.125,-5.888,1,0.0602,140.956,4,0.509
021lWIHJrURZrmvYQ1xcM8,High Off Life,0.0144,0.931,0.667,0,0.15,-7.043,0,0.318,142.039,4,0.667
021oUsG0NYI7YuJK6c0ecG,Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack),0.13,0.65,0.62,0,0.0764,-8.437,1,0.0289,78.024,4,0.725
022k1qYIMWV20yW7tjiBv5,Play God,0.131,0.7,0.677,0.0491,0.121,-7.206,0,0.0458,94.388,4,0.614
0247StOpd3AkeBQzANX4Zf,Do They Know It's Christmas?,0.164,0.599,0.642,3.33e-05,0.0992,-6.936,1,0.0363,115.412,4,0.349
026IC4Vj88QjLlnIPDExhz,Hurt Somebody,0.361,0.83,0.557,0,0.249,-5.146,1,0.118,114.966,4,0.492
02EueNTei94HbMKaBB4Clv,ROLEXESH,0.413,0.744,0.563,0,0.1,-6.331,1,0.373,149.124,4,0.387
02FaKXXL7KUtRc7K0k54tL,Cozy Little Christmas,0.128,0.774,0.608,0,0.0895,-6.264,1,0.128,137.494,4,0.56
02Hm1Auu9GelscSyCeO8ac,Verslavend,0.19,0.719,0.641,9.94e-06,0.344,-5.2,0,0.078,90.113,4,0.37
02IYSENYv8CaBYCRNCBltd,Tranen,0.206,0.563,0.575,1.19e-06,0.289,-7.766,1,0.352,158.96,4,0.756
02LVio44kxb9vSlvbMzEDT,Trop chaud,0.19,0.637,0.694,0,0.128,-6.347,1,0.34,170.038,4,0.566
02LZ1fGJE8fB56yTlCVMEV,Switch,0.00348,0.914,0.624,0.00389,0.395,-6.112,0,0.0531,109.977,4,0.346
02LwcMgdAIoHdTOMVCWSul,Ma Love (feat. Heezy Lee),0.0698,0.917,0.824,0.00261,0.0547,-3.979,1,0.129,135.985,4,0.963
02MWAaffLxlfxAUY7c5dvx,Dreamland (+ Bonus Levels),0.44,0.761,0.525,6.7e-06,0.0921,-6.9,1,0.0944,80.87,4,0.531
02PBAJJd2EPetkC3fbF3uv,Conquête du trône,0.199,0.767,0.717,9.04e-06,0.0782,-6.917,0,0.0642,105.018,4,0.91
02PjrA5rmpjDNocDmTva0H,Fuego,0.621,0.646,0.683,0.000968,0.109,-4.967,0,0.291,175.717,4,0.225
02RCbjb9czvQKNGBmEmWob,My Turn,0.0177,0.883,0.599,0,0.179,-5.551,1,0.248,142.976,4,0.413
02VHspkXhhH1QCInRWWIfr,Catching Feelings (feat. Six60),0.607,0.397,0.524,0,0.157,-5.846,1,0.103,175.562,4,0.343
02WDuAXXKumemrvsmrVBvH,Troubadour,0.329,0.584,0.768,0,0.0587,-4.185,1,0.058,152.005,4,0.729
02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,0.851,0.608,0.174,1.92e-05,0.0855,-8.796,1,0.0332,112.175,4,0.193
02ZRnYxBuBqUtvfzhvR1x8,La force,0.0342,0.826,0.842,0,0.345,-5.076,0,0.107,99.969,4,0.346
02ZsOeVtenrP80YpRPSonZ,Sunny drop,0.00071,0.497,0.918,0,0.155,-2.689,1,0.0377,100.024,4,0.582
02c4wpeXlXxT7Cekkz3kP3,Lean On Me (feat. Robinson),0.0204,0.714,0.531,0,0.171,-8.023,1,0.0484,101.003,4,0.48
02dADQ1lF2YLpDYDXLNifI,Rose Gold,0.361,0.788,0.599,1.02e-05,0.32,-6.464,1,0.135,143.087,4,0.419
02dRkCEc8Q5ch4TTcnLxOn,Late Night Feelings,0.00987,0.601,0.794,1.36e-06,0.418,-5.844,0,0.0671,114.066,4,0.244
02dXvglgWs3XX5qdew4cqW,STERNENHIMMELDACH,0.474,0.871,0.359,0,0.141,-15.76,0,0.217,124.99,4,0.498
02gj0J38nzyO9lNi9mzi3A,Glory Days: The Platinum Edition,0.0345,0.586,0.865,5.55e-06,0.165,-4.092,1,0.319,172.917,4,0.468
02hNDxtMMTpq72rdp1lm6v,Pretty Girls Like Trap Music,0.124,0.789,0.501,0,0.169,-7.167,0,0.461,75.031,4,0.225
02iUVk5hDjUseFNgYXwF9I,20th Century Masters: The Christmas Collection: Jackson 5,0.749,0.493,0.431,0,0.17,-7.5,1,0.0231,84.458,4,0.335
02iW5boMzeBDVRI0dRE1Yw,don't be sad,0.621,0.693,0.41,0,0.101,-6.183,1,0.0428,144.969,4,0.281
02iYJG3KLBJODa5JkQ4O6y,hooligan / sons & critics,0.198,0.77,0.636,2.92e-06,0.115,-7.636,0,0.0901,93.032,3,0.414
02ij9yuZr4jjdTB4qwsFDe,Insolent,0.286,0.926,0.704,0,0.393,-6.744,0,0.218,140.025,4,0.635
02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),0.479,0.733,0.859,0.0645,0.105,-5.03,0,0.033,124.948,4,0.52
02kDW379Yfd5PzW5A6vuGt,"Lemonade (feat. Gunna, Don Toliver & NAV)",0.256,0.799,0.66,0,0.111,-6.153,0,0.079,140.04,4,0.471
02mYw61RoS1vXvkD9Q5dpN,WUNNA,0.0562,0.889,0.507,0,0.116,-8.74,1,0.162,111.994,4,0.219
02qDk0sngobDvg3LUdt9Y0,GIFTED,0.526,0.736,0.801,0,0.112,-5.902,1,0.225,166.169,4,0.923
02t2kfqtYpPW8718hxnBcV,Heavy Is The Head,0.158,0.841,0.711,0,0.182,-3.896,1,0.274,106.034,4,0.448
02t5gEURbZvQ5q3xlqzBLq,Mwaka Moon,0.0814,0.732,0.717,3.57e-05,0.361,-5.324,1,0.13,98.476,4,0.642
02uSh14aUckmfTVj5MEhmg,"Ashe Tape, Vol. 3",0.483,0.725,0.649,1.23e-05,0.109,-8.391,1,0.237,146.19,4,0.766
02y8kYqCkzAxVqLEsnIXNS,Regen,0.13,0.759,0.792,0,0.106,-4.684,0,0.0719,76.032,4,0.862
030mot3ZKR3oskfMsqDB2R,Meet Me In St. Louis,0.97,0.156,0.184,0.00458,0.26,-14.82,1,0.0393,180.887,3,0.107
032nvIsMuiCJKeqvj2lLmM,The Octagon,0.477,0.783,0.57,0,0.0966,-7.174,1,0.332,136.061,4,0.485
033if6Adj8fwBYsQzHOfQ8,100k Cash,0.289,0.701,0.714,0,0.0883,-5.906,1,0.524,86.91,4,0.604
034BqEUIVYlkjTZU4CRT9y,冬のプレゼント,0.0781,0.541,0.641,0,0.0925,-4.561,1,0.0253,94.987,4,0.456
034EMd06oEtPZ98wsK4p2t,Allemaal Een Droom,0.691,0.779,0.732,0.000187,0.105,-7.513,0,0.224,93.972,4,0.646
034jxfixe0Gogd6p0reMnP,Nimmerland,0.0374,0.608,0.698,0.00324,0.0791,-5.279,1,0.0484,154.996,4,0.296
0362SHfDTYXjWFVa8PPY7I,Trap Grammy,0.0708,0.88,0.745,3.86e-06,0.0801,-5.605,0,0.25,119.976,4,0.593
036HGg6Bs7n15m99zcnPwZ,93,0.0955,0.579,0.814,0,0.109,-6.984,1,0.42,139.904,4,0.735
036NjfC7XOsmhds5tlNWUT,8-9-17,0.579,0.75,0.582,7.91e-06,0.092,-8.436,1,0.3,145.694,4,0.547
03B2SfXuvDh1m9F4tqrX07,Skin,0.428,0.557,0.457,0,0.0567,-5.372,1,0.0335,105.918,4,0.328
03CbQgFxnBFoaaVJTfEqMD,medicine,0.00393,0.615,0.858,0,0.0789,-3.3,1,0.0396,97.038,4,0.323
03ERnTvSV5fy8WAyvA4uNP,Big Gangsta,0.519,0.879,0.574,8.76e-06,0.144,-5.602,0,0.391,144.911,4,0.346
03EcqaAMg58r10dgbl0o6y,Boa Me (feat. Ed Sheeran & Mugeez),0.165,0.906,0.597,2.94e-06,0.0775,-2.566,1,0.0764,124.008,4,0.967
03IS2iOegM0fawq6wid44m,Meesterplusser,0.277,0.792,0.659,0,0.267,-6.417,0,0.247,90.031,4,0.632
03It1uO69CjGWP3yyVe465,Queen,0.0654,0.851,0.421,0.00141,0.136,-8.022,0,0.0644,140.992,4,0.21
03JMjrsnUgeZNJ5yUJgWbL,Grande,0.0746,0.741,0.664,0,0.114,-9.512,0,0.0467,80.493,4,0.481
03MejMhKBHTeuvgiBTDUhL,Heute mit mir,0.351,0.834,0.84,2.1e-05,0.0753,-4.777,0,0.0442,117.058,4,0.851
03O32oEi0jJsbmcHMjCPBD,A zéro,0.0893,0.696,0.65,1.08e-05,0.0724,-5.871,0,0.149,178.021,4,0.402
03Pg5wDlaYAZlTNLeAfl2r,Leave Me Lonely,0.279,0.764,0.868,0,0.175,-5.827,1,0.0505,131.031,4,0.754
03SXU2fYsqJRpiOGbff1s9,Champagne Rain,0.241,0.819,0.367,9.11e-05,0.111,-6.648,0,0.399,176.128,4,0.548
03SfDYmOPflD23iTL5qjiq,bis um 3,0.0678,0.842,0.652,0,0.094,-6.644,0,0.132,101.11,4,0.392
