,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
52,Just Friends,0.105,0.639,0.685,0.0,0.143,-4.571,0,0.049,110.041,4,0.363,444771,Australia,1quuqraz6z6RusyJZtyDcm
53,Somebody,0.186,0.532,0.616,0.0,0.0928,-7.074,0,0.0328,101.883,4,0.292,428672,Australia,3pWcj8hxj3fsb9TDAcMpEl
54,Zack And Codeine,0.15,0.738,0.824,0.0,0.132,-5.165,0,0.0437,138.039,4,0.386,410535,Australia,5lZZmityu9TAjNvSY6GLhR
55,I Wanna Know (feat. Bea Miller),0.0253,0.661,0.725,0.0,0.123,-4.859,1,0.0563,119.927,4,0.605,408580,Australia,18W92Zm1KjLCbUIszOhpkD
56,Say Something (feat. Chris Stapleton),0.103,0.707,0.632,1.09e-05,0.0841,-7.031,1,0.0789,97.04,4,0.372,397823,Australia,1LhMopPAallLeaeNutqbgS
57,92 Explorer,0.265,0.798,0.733,1.25e-06,0.114,-4.811,0,0.0476,146.046,4,0.861,390752,Australia,1D2L6MefbXon28PzIk9I3r
58,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,389508,Australia,7qiZfU4dY1lWllzX7mPBI3
59,River (feat. Ed Sheeran),0.17,0.757,0.748,0.0,0.0759,-5.794,0,0.473,90.052,4,0.693,373983,Australia,5UEnHoDYpsxlfzWLZIc7LD
60,Takin' Shots,0.61,0.762,0.621,0.0,0.464,-6.24,1,0.0866,120.056,4,0.593,373165,Australia,5ffntNJnJOeFv7b7DCd0Bw
61,Chateau,0.637,0.661,0.589,0.863,0.111,-11.217,1,0.0368,129.987,4,0.603,369581,Australia,1LIbTjMdFP15jIXGkcICSU
62,Feel It Still,0.0417,0.801,0.795,0.000113,0.0717,-5.115,0,0.0504,79.028,4,0.754,367035,Australia,6QgjcU0zLnzq5OrUoSZ3OK
63,Havana (feat. Young Thug),0.184,0.765,0.523,3.56e-05,0.132,-4.333,1,0.03,104.988,4,0.394,366866,Australia,1rfofaqEpACxVEHIZBJe6W
64,Young Dumb & Broke,0.199,0.799,0.539,1.66e-05,0.165,-6.351,1,0.0421,136.948,4,0.394,365511,Australia,5Z3GHaZ6ec9bsiI5BenrbY
65,Otherside,0.318,0.652,0.643,2.87e-06,0.208,-5.667,0,0.0353,104.932,4,0.109,359748,Australia,4qWCFTuNnmGNdY4egtb4ZY
66,"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.0393,0.659,0.717,0.0,0.0769,-4.202,1,0.0581,103.036,4,0.71,359508,Australia,5AEtlRudpgdT5FtNiuly6Y
67,Walk It Talk It,0.0876,0.907,0.633,2.6e-06,0.106,-5.145,1,0.184,145.914,4,0.395,355246,Australia,6n4U3TlzUGhdSFbUUhTvLP
68,HUMBLE.,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0,0.102,150.011,4,0.421,354047,Australia,7KXjTSCq5nL1LoYtL7XAwS
69,Wolves,0.139,0.715,0.802,0.0,0.177,-4.647,0,0.0394,124.989,4,0.327,344311,Australia,7EmGUiUaOSGDnUUQUDrOXC
70,New Rules,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0,0.0694,116.073,4,0.608,341693,Australia,2ekn2ttSfGqwhhate0LSR0
71,Watch (feat. Lil Uzi Vert & Kanye West),0.0372,0.706,0.559,0.0,0.379,-5.216,0,0.0416,78.534,4,0.252,336904,Australia,3DoBTwfr8yi2LN08SBpFkN
72,Pray For Me (with Kendrick Lamar),0.0805,0.728,0.668,1.49e-05,0.102,-5.02,1,0.126,100.537,4,0.162,335857,Australia,4ofvoCdXq99vpMZO4Cfp8x
73,Mr. Brightside,0.00101,0.356,0.924,0.0,0.0953,-3.74,1,0.0808,148.017,4,0.232,327940,Australia,7oK9VyNzrYvRFo7nQEYkWN
74,Silence,0.256,0.52,0.761,4.96e-06,0.17,-3.093,1,0.0853,141.971,4,0.286,324322,Australia,7vGuf3Y35N4wmASOKLUVVU
75,Jocelyn Flores,0.469,0.872,0.391,4.13e-06,0.297,-9.144,0,0.242,134.021,4,0.437,323997,Australia,7m9OqQk4RVRkw9JJdeAw96
76,Need You,0.262,0.753,0.75,0.00902,0.0928,-6.653,1,0.0345,117.995,4,0.388,319103,Australia,0L0VMu7ovN7rmTtC8QQrqj
77,Be Careful,0.0256,0.82,0.568,0.0,0.0952,-8.23,0,0.411,152.279,4,0.535,318347,Australia,2Yl4OmDby9iitgNWZPwxkd
78,Perfect,0.163,0.599,0.448,0.0,0.106,-6.312,1,0.0232,95.05,3,0.168,315549,Australia,0tgVpDi06FyKpA1z0VMD4v
79,Blame It On Me,0.145,0.652,0.591,5.65e-06,0.164,-7.274,0,0.0418,121.873,4,0.274,315499,Australia,1ZemPoaj7LBj1RAQrb89EC
80,Say You Won't Let Go,0.695,0.358,0.557,0.0,0.0902,-7.398,1,0.059,85.043,4,0.494,301066,Australia,5uCax9HTNlzGybIStD3vDh
81,Let You Down,0.33,0.659,0.716,0.0,0.173,-5.673,0,0.111,148.015,4,0.437,300824,Australia,6mrKP2jyIQmM0rw6fQryjr
82,Go Bang,0.0714,0.598,0.893,0.0159,0.146,-3.072,1,0.0319,120.972,4,0.485,300236,Australia,6PKxFkewPt55P5ao5tVS5o
83,Finesse - Remix; feat. Cardi B,0.0185,0.704,0.859,0.0,0.0215,-4.877,0,0.0996,105.115,4,0.926,297055,Australia,3Vo4wInECJQuz9BIBMOu8i
84,Ric Flair Drip (& Metro Boomin),0.149,0.88,0.428,5.07e-05,0.114,-8.28,1,0.206,100.007,4,0.333,294514,Australia,7sO5G9EABYOXQKNPNiE9NR
85,Chun-Li,0.307,0.643,0.766,1.38e-05,0.107,-4.788,0,0.384,97.092,4,0.463,293629,Australia,2gTYVoQCUh0QNUaFix01ld
86,I Like Me Better,0.535,0.752,0.505,2.55e-06,0.104,-7.621,1,0.253,91.97,4,0.419,293038,Australia,1wjzFQodRWrPcQ0AnYnvQ9
87,My My My!,0.00433,0.699,0.479,9.58e-05,0.0435,-7.83,1,0.0919,102.959,4,0.462,291017,Australia,2Tq2R8sRftNEqdgJK5HadO
88,This Is Me,0.00583,0.284,0.704,0.000115,0.0424,-7.276,1,0.186,191.702,4,0.1,288142,Australia,2xGjteMU3E1tkEPVFBO08U
89,Too Good At Goodbyes,0.64,0.681,0.372,0.0,0.169,-8.237,1,0.0432,91.873,4,0.476,284728,Australia,1mXVgsBdtIVeCLJnSnmtdV
90,1-800-273-8255,0.569,0.62,0.574,0.0,0.19,-7.788,0,0.0479,100.023,4,0.357,284160,Australia,5tz69p7tJuGPeMGwNTxYuV
91,NUMB,0.189,0.614,0.559,0.0,0.0911,-7.081,0,0.0427,147.937,4,0.388,280645,Australia,4bJzIbze97tZwCxxMw4hx9
92,I Like The Way,0.0264,0.676,0.775,0.0,0.123,-6.369,0,0.168,104.913,4,0.402,277722,Australia,1Bx3Xf9CLq1gmK9KRPTEsU
93,Sugar Wraith,0.262,0.606,0.775,0.0,0.1,-4.269,0,0.0671,164.02,4,0.307,275071,Australia,0MrRAUcB8AZiB9ue2VOBYe
94,Happier,0.536,0.522,0.385,0.0,0.135,-7.355,1,0.0288,89.792,4,0.236,274674,Australia,2RttW7RAu5nOAfq6YFvApB
95,Late Nights,0.643,0.699,0.548,0.0,0.275,-8.508,0,0.202,97.978,4,0.494,273162,Australia,1rXLdF4ATUiDQ8XuSNjRze
96,Stir Fry,0.00263,0.817,0.816,0.0,0.159,-5.402,1,0.269,181.982,4,0.508,269669,Australia,2UVbBKQOdFAekPTRsnkzcf
97,Chasing Fire,0.0449,0.709,0.562,0.0,0.217,-4.864,1,0.0724,125.965,4,0.386,267640,Australia,1xy4apMFecGGkgBeaHFZ2M
98,Wake Me Up - Radio Edit,0.0038,0.532,0.783,0.0012,0.161,-5.697,1,0.0523,124.08,4,0.643,266613,Australia,6g1NlCpW7fgqDnWbCCDrHl
