,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
107,Ceci n'est pas du rap (feat. Niro),GIMS,425606,https://open.spotify.com/track/0fuUNxw0BcLYBJZrm3kJzd
108,Santa Tell Me,Ariana Grande,425554,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
109,BOP,DaBaby,425281,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
110,Unstoppable,Sia,424891,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
111,?a ira,SCH,416113,https://open.spotify.com/track/47yhjEwyOgNPPLHLL8OGLV
112,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,412782,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
113,Lucid Dreams,Juice WRLD,402467,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
114,hot girl bummer,blackbear,402201,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
115,HIGHEST IN THE ROOM,Travis Scott,396791,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
116,Sankhara #4 (Chic),Bol?mvn,394946,https://open.spotify.com/track/6mKLhdZIMaHpZ9kbmq9SOS
117,Shallow,Lady Gaga,384525,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
118,Blanka,PNL,384110,https://open.spotify.com/track/295SxdR1DqunCNwd0U767w
119,Baden Baden (feat. Ma?tre Gims),SCH,383313,https://open.spotify.com/track/424TSKJiIaMkTNmG5uRi85
120,1000ÅãC,Lomepal,380509,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou
121,AVM,YG Pablo,377036,https://open.spotify.com/track/7piwPRs4IRLfUyAaq8ozmD
122,Madrina,Maes,374253,https://open.spotify.com/track/4miiqu2dxOhBguQDHtqssH
123,Musica (feat. Ninho),Soprano,372095,https://open.spotify.com/track/4hdwmvZ5IhBE5QhtxTQkNv
124,Liar,Camila Cabello,368267,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
125,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,368060,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
126,Flou,Ang?le,365276,https://open.spotify.com/track/3b89BehicGUgc60pLBo092
127,Ransom,Lil Tecca,365209,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
128,Let Me Down Slowly,Alec Benjamin,363623,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
129,Nique la BAC,Lorenzo,363202,https://open.spotify.com/track/4VzalpjiHHK5cKSgrZuNjg
130,Silicon?,Niska,362783,https://open.spotify.com/track/4pmQt0EAXwy2SyXOJJ2bPU
131,It's Beginning to Look a Lot like Christmas,Michael Bubl?,362390,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
132,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,360100,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
133,Follow Back (feat. Aya Nakamura),Dabs,359762,https://open.spotify.com/track/2W1JSyFiR8V8cnObOsfzUi
134,Pow pow,Jul,359422,https://open.spotify.com/track/7439REnnov7d5h0P419Nk2
135,Journal perso II,Vald,358679,https://open.spotify.com/track/1ezjFgjNnCf57TW1sacWBH
136,Only Human,Jonas Brothers,358504,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
137,Combien,Kaza,358224,https://open.spotify.com/track/4zULM3R99kAHqJkJDCIR4C
138,It's the Most Wonderful Time of the Year,Andy Williams,356121,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
139,L'hymne de nos campagnes 2019,Tryo,355161,https://open.spotify.com/track/6FNdxaAOler5LutmU2sVxT
140,Jingle Bell Rock,Bobby Helms,352983,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
141,Me Gusta,DTF,352466,https://open.spotify.com/track/6P3FBaZfUjeWYExU2ShaPZ
142,Donnez-moi,Les Frangines,351924,https://open.spotify.com/track/0kbDehgfwaDX6HBnl5hoyq
143,Habiba,Bramsito,351459,https://open.spotify.com/track/5YrgjXV0tB7RjyMshnCKyL
144,Late Nights,Hamza,349319,https://open.spotify.com/track/01S5aiC3Q5bt84EiGaCVwP
145,"Moi, je prouve.",Tayc,349246,https://open.spotify.com/track/3EF6LVr4vCyxu66HBe8pGO
146,Quotidien,Koba LaD,347531,https://open.spotify.com/track/2abVYMtriZHHIDGFZFT5ij
147,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,346777,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
148,Djadja,Aya Nakamura,346690,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
149,Do They Know It's Christmas? - 1984 Version,Band Aid,345030,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
150,Tel Me,Jul,342001,https://open.spotify.com/track/4ml7hnH3FtGeUDMhzVmnrj
151,Le coach (feat. Vincenzo),Soprano,340193,https://open.spotify.com/track/1RighqmKZNqLP9rklJ4HCz
152,Belek,Hamza,332504,https://open.spotify.com/track/37kUygNDNeLTWUgxJGZnbi
153,Bim Bam toi,Carla,331175,https://open.spotify.com/track/33NTeQz7sVYLmkJ1k8GsVR
154,OTT #1,N'seven7,330377,https://open.spotify.com/track/40aUecOhUNkxTEqCRSWzxi
155,L'adresse,47ter,329760,https://open.spotify.com/track/2imn6s1bQUKShiC7Ab2Lp5
156,Deux fr?res,PNL,329203,https://open.spotify.com/track/6hzi3AGB39FjxFqcjgbWs7
157,Las Vegas,Jok'air,327876,https://open.spotify.com/track/6L2bXG181V9k56XS167r1P
158,B?n?fice max,Djadja & Dinaz,327588,https://open.spotify.com/track/2HpgP7x3QbcX2RVXlELTxG
159,G's Up Hoes Down,Hamza,327297,https://open.spotify.com/track/0nDd4eVCkKoDBgpJWtsKOm
160,Poss?d?,Djadja & Dinaz,326906,https://open.spotify.com/track/6g8Waa9vcFQP1FElldjfRr
161,The Christmas Song (Merry Christmas To You),Nat King Cole,325040,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
162,Torn,Ava Max,323275,https://open.spotify.com/track/2GdxQw8NwoeH8tKySg6nym
163,La 12,Timal,321950,https://open.spotify.com/track/0liPTFPAXfDrjXFwMn9L1A
164,Billets verts,Maes,317916,https://open.spotify.com/track/3uTNli5uz5rNOqD6qZFi8L
165,Plus le temps,Hornet La Frappe,316238,https://open.spotify.com/track/40atgQddKCjgPQKpoLigRq
166,Money (feat. Faouzia),Ninho,316172,https://open.spotify.com/track/1NUC8l1gq50VuHzmWRMA2G
167,La Guenav,Gambi,314740,https://open.spotify.com/track/0kH4ZE0SewdiPUUgbQNVSU
168,It's Beginning To Look Like Christmas,Bing Crosby,314526,https://open.spotify.com/track/44mYhOVgerj2qPjkGDVA6n
169,Elle pleut,Nekfeu,312581,https://open.spotify.com/track/4kqsT3yDyJr1KZ2AkM9qfD
170,Hola Se?orita,GIMS,312130,https://open.spotify.com/track/5vLEmh5EolySKTvXsyWSOg
171,Ce monde est cruel,Vald,312108,https://open.spotify.com/track/4sVqufkRucC6hzUBzxKmdd
