,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
93,"Eastside (with Halsey & Khalid)","benny blanco",517913,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
94,"7 rings","Ariana Grande",516960,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
95,"Funky Friday",Dave,516254,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO
96,"If I Can't Have You","Shawn Mendes",509377,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
97,"rockstar (feat. 21 Savage)","Post Malone",505656,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
98,"Won't Be Late (feat. Drake)","Swae Lee",501995,https://open.spotify.com/track/2sqsNXfN0HtgDEgaHXiUTa
99,"Love Me","Lil Tecca",501103,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
100,"Butterflies (feat. Not3s)","AJ Tracey",499175,https://open.spotify.com/track/4hGsbyf3p0U5mlJTJwiUTq
101,Happier,Marshmello,496363,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
102,"Ransom (with Juice WRLD) - Remix","Lil Tecca",493891,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
103,"Paper Rings","Taylor Swift",487077,https://open.spotify.com/track/4y5bvROuBDPr5fuwXbIBZR
104,"Cinnamon Girl","Lana Del Rey",483188,https://open.spotify.com/track/2mdEsXPu8ZmkHRRtAdC09e
105,"when the party's over","Billie Eilish",479521,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
106,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",478686,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
107,Riptide,"Vance Joy",472976,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
108,"High Hopes","Panic! At The Disco",469675,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
109,"Simmer (feat. Burna Boy)",Mahalia,468992,https://open.spotify.com/track/4JSEMSiKPVcIEBQIlmGuI3
110,"All Day And Night","Jax Jones",464323,https://open.spotify.com/track/5naYe7rLMZcLfO1DKg48MK
111,"lovely (with Khalid)","Billie Eilish",463834,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
112,"Did It Again","Lil Tecca",462843,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
113,"Mariners Apartment Complex","Lana Del Rey",462696,https://open.spotify.com/track/6OG05bPAwUuV3OMvy2Vy1P
114,2002,Anne-Marie,460029,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
115,"Body (feat. brando)","Loud Luxury",457411,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
116,Juice,Lizzo,456133,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
117,"bury a friend","Billie Eilish",453608,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
118,"Giant (with Rag'n'Bone Man)","Calvin Harris",448360,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
119,"thank u, next","Ariana Grande",443188,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
120,"Just You and I","Tom Walker",441666,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
121,"Love song","Lana Del Rey",436898,https://open.spotify.com/track/5tyMJlMqaggzvuX7TtlrTe
122,"Talk (feat. Disclosure)",Khalid,436768,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
123,"Venice Bitch","Lana Del Rey",432609,https://open.spotify.com/track/3hwQhakFwm9soLEBnSDH17
124,"Wonderwall - Remastered",Oasis,430198,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
125,"One Touch","Jess Glynne",426727,https://open.spotify.com/track/3eS1VMcEmq2IUgpaeDysCb
126,"Miss Americana & The Heartbreak Prince","Taylor Swift",422884,https://open.spotify.com/track/214nt20w5wOxJnY462klLw
127,"I Think He Knows","Taylor Swift",421509,https://open.spotify.com/track/2YWtcWi3a83pdEg3Gif4Pd
128,"Bohemian Rhapsody - Remastered 2011",Queen,420964,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
129,"break up with your girlfriend, i'm bored","Ariana Grande",420222,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
130,"OT Bop",NSG,418040,https://open.spotify.com/track/6bAirj2qDf0agxdMuIdq1p
131,Advice,Cadet,416937,https://open.spotify.com/track/1fp2uoWXPca3mIdxRHIgQm
132,"bad guy (with Justin Bieber)","Billie Eilish",413953,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
133,"Lucid Dreams","Juice WRLD",410841,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
134,"Find U Again (feat. Camila Cabello)","Mark Ronson",407100,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
135,"The Archer","Taylor Swift",406588,https://open.spotify.com/track/3pHkh7d0lzM2AldUtz2x37
136,"Dancing With A Stranger (with Normani)","Sam Smith",405038,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
137,"Boasty (feat. Idris Elba)",Wiley,404669,https://open.spotify.com/track/7cz506PyIgh2bMN90Mc8Tn
138,"Pop Out (feat. Lil Tjay)","Polo G",403434,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
139,"Your Mrs",JAY1,402790,https://open.spotify.com/track/5gDQm47YjTJkdkTnfNFRMC
140,Africa,TOTO,399968,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
