,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
117,GRIND,Fler,615938,https://open.spotify.com/track/0oFrTaO9UIgqu6MuzkFu7B
118,Eiskalt,Loredana,608725,https://open.spotify.com/track/5sMugAU31Ug5SAUUbhBIKU
119,What A Man Gotta Do,Jonas Brothers,608108,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
120,Better,Lena,603265,https://open.spotify.com/track/3jCMdvc8bFOKChETbFV9Zc
121,HIGHEST IN THE ROOM,Travis Scott,582551,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
122,CHING CHING CHING,Farid Bang,581970,https://open.spotify.com/track/32ojM1s5NBAmuSzkJhS8aP
123,Yummy,Justin Bieber,581468,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
124,lovely (with Khalid),Billie Eilish,581073,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
125,Adore You,Harry Styles,574482,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
126,WHATS POPPIN,Jack Harlow,567287,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
127,Sag Wieso,Lil Lano,563888,https://open.spotify.com/track/5TELAde0F3gYZF4l2m6RXp
128,Like I Love You,Nico Santos,563787,https://open.spotify.com/track/6jX0CXNY3zsIMgw2tEZC5h
129,KARMA,Nimo,561207,https://open.spotify.com/track/3uTiW4Tjt6FqSPRYNgzW5t
130,Monster,LUM!X,557506,https://open.spotify.com/track/0YU17F0BlVXvmx5ytsR43w
131,Sandmann,le Shuuk,539209,https://open.spotify.com/track/7AO4SbDUqGQ3vY6SQYEFRZ
132,gENAuSo,Dardan,536055,https://open.spotify.com/track/5nmVf5dSgH4A25qsev28Mi
133,Stars,VIZE,534576,https://open.spotify.com/track/0TId5TSbdcBP32haUV4Aet
134,Piece Of Your Heart,MEDUZA,528930,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
135,Kings & Queens,Ava Max,526380,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
136,That Way - Bonus Track,Lil Uzi Vert,524249,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
137,Letzte Träne,Kontra K,524112,https://open.spotify.com/track/1FuJKBi6XdFyf8Yzmck468
138,God Is A Dancer (with Mabel),Tiësto,520809,https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP
139,Gimme! Gimme! Gimme!,GAMPER & DADONI,520295,https://open.spotify.com/track/4zLSkwZaiMfzzapPCbdG90
140,Underdog,Alicia Keys,518975,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
141,After Hours,The Weeknd,518905,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
142,P2,Lil Uzi Vert,514172,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
143,Lucid Dreams,Juice WRLD,512932,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
144,ily (i love you baby) (feat. Emilee),Surf Mesa,512858,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
145,Thank You [Not So Bad],VIZE,509325,https://open.spotify.com/track/4AqN8IdKCfItCSbuaFch81
146,PHANTOM (feat. Summer Cem),reezy,508661,https://open.spotify.com/track/1s0nANz8q6gEZOms034GbU
147,Skechers,DripReport,507572,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
148,Kommunikation,Eno,502888,https://open.spotify.com/track/2LyG4XgcCVljU2BZpRpxYX
149,Der Bratan bleibt der gleiche,Capital Bra,502283,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
150,Summer Cem (feat. Luciano),Summer Cem,500738,https://open.spotify.com/track/1hrHUEYoVBC1hNCXkX7tIA
151,I Don't Care (with Justin Bieber),Ed Sheeran,498709,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
152,Anders Real,Senna Gammour,497589,https://open.spotify.com/track/1WXfWjVzJVEF4GJhBSMPvr
153,Beautiful People (feat. Khalid),Ed Sheeran,496298,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
154,Castles,Freya Ridings,490847,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
155,Vor der Tür,Gzuz,490629,https://open.spotify.com/track/0LPRq5I35z8FoqYo84xn48
156,Feel Me,Selena Gomez,488797,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
157,Nur zur Info,Ufo361,487861,https://open.spotify.com/track/6Y7ZEVr7lgO8FKGk2vZ2hi
158,My Oh My (feat. DaBaby),Camila Cabello,486046,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
159,Big Drip,Ufo361,484201,https://open.spotify.com/track/4qOesAYiMiMFiZrn2wfkl6
160,CITY OF ANGELS,24kGoldn,483788,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
161,Hoch,Tim Bendzko,481688,https://open.spotify.com/track/7gqefhSJfWyN1qQ2huvEze
162,WAS'N TYP,Moe Phoenix,479896,https://open.spotify.com/track/3psaDy7UhAPVFjq5q5Kyep
163,Rescue Me,OneRepublic,479615,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
164,Hi Babe,Juju,478751,https://open.spotify.com/track/6erIvryBSsAdebNU4a7Mrs
165,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,478701,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
166,Maschine,RAF Camora,472889,https://open.spotify.com/track/0C6NMPWYqsLIuuYSNP8KqE
167,Ohne mein Team,Bonez MC,470384,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
168,Mashkal,JURI,459529,https://open.spotify.com/track/40Mv1ga6Ue4zOYRR1RYU9P
169,Es tut schon wieder weh,Pietro Lombardi,458833,https://open.spotify.com/track/3C0clLWH3HLuZy0bX5ie3U
170,Huracan,Samra,457997,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1
171,Puta Madre - Bonustrack,RAF Camora,456506,https://open.spotify.com/track/0bg9us6qbMWTAMSF3y4egO
172,Dior 2001,RIN,456001,https://open.spotify.com/track/6WusSsncC0Oo9sFHKwQii6
173,SICKO,Felix Jaehn,455574,https://open.spotify.com/track/2vDxrqUKTkgSxn7x3JYms9
174,In My Mind,Dynoro,454756,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
175,Adriana,RAF Camora,454620,https://open.spotify.com/track/5YbcMbH4xHRfep9rSxLRDt
176,Sweet but Psycho,Ava Max,454258,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
177,rockstar (feat. 21 Savage),Post Malone,453822,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
178,Passé,JIGGO,452781,https://open.spotify.com/track/6gILJSAR6dO8VmMcP9ERjR
179,All Around The World (La La La),R3HAB,451840,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
180,T-Shirt,KASIMIR1441,450477,https://open.spotify.com/track/2ysuyHrDnmlJexX7Mfh2J1
181,Run Run Run (feat. Yung Kafa & Kücük Efendi) - Remix,Capo,446619,https://open.spotify.com/track/0tkLWl3McmxUhh72cdCdT1
182,Viva la Dealer,SDP,442592,https://open.spotify.com/track/2vuFdbSOLje3khV4rLSEpm
183,Alge,Knossi,437635,https://open.spotify.com/track/69nrq6NeLYbKJIv21ORgQ4
184,Higher Love,Kygo,436858,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
185,FREUNDE,ELIF,435541,https://open.spotify.com/track/56RqrSY7LWRL7aeeNazxyI
186,Old Town Road - Remix,Lil Nas X,432500,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
187,2 Minuten,Apache 207,431574,https://open.spotify.com/track/1u5jYTx2WdptYWYpwqcE9n
188,Brot nach Hause,Apache 207,430145,https://open.spotify.com/track/5e0bzcsI1khimLSJhddHdS
189,Jetzt rufst du an,Loredana,428942,https://open.spotify.com/track/46QHfb0an5B7cgHRfuDHas
190,Genick,Loredana,428868,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH
191,Take My Hand,Jerome,428382,https://open.spotify.com/track/7My1iCGUznwNztIokee32S
192,Diamonds (feat. Capital Bra),Summer Cem,427762,https://open.spotify.com/track/2nPJnablplDgVVgSDF9BAs
193,Post Malone (feat. RANI),Sam Feldt,426954,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
194,I Love Me,Demi Lovato,425767,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
195,Unnormal,RAF Camora,424233,https://open.spotify.com/track/7CzSP7spDpZBP8edbtPIwI
196,To Die For,Sam Smith,423452,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
197,Sticky oder L'ers,BHZ,422406,https://open.spotify.com/track/7fNTxZtAu4LuxV75m0tWt4
198,Bad Child,Tones And I,421264,https://open.spotify.com/track/1qCmZnC1FUpNgOydIzqIPC
199,Seele,Azet,420148,https://open.spotify.com/track/0b9tA3TNHCzfbTh9mGloNx
200,Blockparty,Symba,416671,https://open.spotify.com/track/1MkDGQvM8CRrMIcHxjTni5
