,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
79,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7633498,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
80,Robbery,"Juice WRLD",7602315,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
81,Falling,"Trevor Daniel",7496123,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
82,"HIGHEST IN THE ROOM","Travis Scott",7485103,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
83,"Intentions (feat. Quavo)","Justin Bieber",7475544,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
84,"Toosie Slide",Drake,7366789,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
85,"Djadja (feat. Maluma) - Remix","Aya Nakamura",7320776,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
86,Diamonds,"Sam Smith",7312683,https://open.spotify.com/track/5hvwx5i67IwnCkjl9VHkNv
87,Shallow,"Lady Gaga",7280027,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
88,"Jerusalema (feat. Nomcebo Zikode)","Master KG",7257545,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
89,"Break My Heart","Dua Lipa",7255096,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
90,"Me Gusta (with Cardi B & Myke Towers)",Anitta,7252324,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
91,"lovely (with Khalid)","Billie Eilish",7232490,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
92,"bad guy","Billie Eilish",7204530,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
93,Tusa,"KAROL G",7162297,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
94,"Smile (with The Weeknd)","Juice WRLD",7071328,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
95,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",6949327,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
96,"SICKO MODE","Travis Scott",6897845,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
97,"Electric Love",BØRNS,6896536,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
98,"You Got It",Vedo,6857222,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
99,"Mi Niña",Wisin,6776866,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
100,"If the World Was Ending - feat. Julia Michaels","JP Saxe",6729555,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
101,"Party Girl",StaySolidRocky,6707702,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
