,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
66,That’s My Life,0.327,0.674,0.772,0.0,0.389,-6.121,1,0.166,83.942,4,0.719,403243,Australia,6hYuI0gEFSWESUVWDn35AQ
67,Mad Love,0.667,0.622,0.796,0.0,0.106,-2.999,0,0.172,197.705,4,0.62,399393,Australia,0bfWT3AgM7ZTuqesJvRP6H
68,All Around The World (La La La),0.479,0.733,0.859,0.0645,0.105,-5.03,0,0.033,124.948,4,0.52,397837,Australia,02itaCXOdC54J0ISjqqFAp
69,Lang Geleden,0.389,0.716,0.588,3.03e-06,0.11,-6.548,0,0.12,104.961,4,0.526,396213,Australia,56H64NArMpBcSVZla91dJW
70,Follow God,0.000248,0.529,0.9,1.21e-05,0.0426,-3.503,1,0.418,180.291,4,0.434,392099,Australia,2QpGZOhTCHHiKmpSO9FW4h
71,Op Zoek Naar Life,0.624,0.841,0.472,0.0,0.123,-8.985,1,0.413,144.022,4,0.84,389259,Australia,1wz2hzJLLEB4PE199kWUpf
72,Duurt Te Lang,0.127,0.638,0.444,0.0,0.0905,-14.221,1,0.196,173.707,4,0.151,385538,Australia,2rzZ0IGxgrGUAPwrWn80z7
73,ROXANNE,0.0522,0.621,0.601,0.0,0.46,-5.616,0,0.148,116.735,5,0.457,384800,Australia,1ZPWWSwCkxKfqdp4H0RFCo
74,Nacht Actief,0.0111,0.841,0.756,0.000887,0.317,-4.853,1,0.108,140.075,4,0.568,384349,Australia,4lzmnA1kBEmiugSRxdWF8k
75,The Last Time,0.0567,0.508,0.744,0.0,0.193,-3.421,1,0.0356,132.067,4,0.129,368664,Australia,78TFew0rsrkci5BDet3pDT
76,Piece Of Your Heart,0.0404,0.677,0.744,0.00016,0.074,-6.806,0,0.0295,124.08,4,0.631,363222,Australia,1DFD5Fotzgn6yYXkYsKiGs
77,Geboren Flex,0.121,0.896,0.662,8.74e-06,0.0757,-5.658,0,0.242,145.005,4,0.768,360631,Australia,0Hw2lU8WZAksgreatdVFfe
78,Love Don’t Hate It,0.154,0.561,0.564,0.0,0.114,-9.268,0,0.0548,83.965,4,0.473,360189,Australia,3WpCAAxdEOY5L4tT6Dt2H8
79,Turn Me On (feat. Vula),0.0149,0.737,0.828,0.000588,0.0862,-4.711,1,0.0396,124.051,4,0.517,359046,Australia,0qaWEvPkts34WF68r8Dzx9
80,Zij Weet Het - Studio Versie,0.15,0.691,0.55,0.0,0.461,-8.318,0,0.0272,94.996,4,0.338,358833,Australia,0rwf08N6Fm5K57S7e7FJty
81,Hij Is Van Mij (feat. Bizzey),0.206,0.689,0.794,0.0,0.581,-5.085,0,0.0872,99.985,4,0.627,357435,Australia,6716bTJI7qiHJFFSR0Ethe
82,Better Now,0.0795,0.488,0.728,0.0,0.309,-4.457,1,0.0827,158.225,4,0.267,357385,Australia,1nWCCpZtykQD3gWpi53A3t
83,Snelle Jongen Dunne Jasje,0.142,0.864,0.663,1.89e-06,0.14,-4.625,0,0.326,124.055,4,0.883,356579,Australia,0MwS9hVhUDm0LjOFxe92ZF
84,Shelbyana,0.0934,0.601,0.631,1.69e-05,0.232,-6.051,1,0.0747,192.062,4,0.33,354695,Australia,6nQPfFmhozv84AgEzm9XfC
85,Als Het Avond Is,0.528,0.725,0.47,0.0,0.113,-7.215,1,0.0301,104.984,4,0.45,352417,Australia,1MWpdDDf3Yk0w6o4oviMFY
86,bad guy,0.328,0.701,0.425,0.13,0.1,-10.965,1,0.375,135.128,4,0.562,348796,Australia,2Fxmhks0bxGSBdJ92vM42m
87,Goeie Fles Wijn,0.107,0.635,0.385,0.0,0.114,-11.263,1,0.323,98.18,4,0.266,344311,Australia,7jLV6Qmb2fegnpzxWiCoIu
88,Trampoline (with ZAYN),0.56,0.619,0.459,0.0,0.137,-5.782,0,0.0334,126.803,4,0.498,342041,Australia,1iQDltZqI7BXnHrFy4Qo1k
