,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
57,Breathe,0.0234,0.722,0.744,0.000157,0.143,-5.52,0,0.0363,125.985,4,0.686,375283,France,6tvQzeCPwOytDlBYCIOY0n
58,Pourquoi tu forces,0.131,0.726,0.757,0.000157,0.119,-6.008,0,0.152,184.553,3,0.843,370252,France,1lgunmmIvvsY7mZeN1SL3j
59,Psycho (feat. Ty Dolla $ign),0.546,0.75,0.56,0.0,0.111,-8.094,1,0.105,140.06,4,0.459,369111,France,3swc6WTsr7rl9DqQKQA55C
60,Dura,0.174,0.786,0.846,0.0,0.413,-3.468,1,0.0505,95.005,4,0.819,363936,France,2j2fIJGh4PMdXt9ULI5Tlc
61,Le p'tit avait un r?ve,0.622,0.788,0.843,0.0,0.131,-4.901,0,0.283,104.914,4,0.532,362007,France,5YBGx2ss1KrB6ObKF21vO8
62,TieksVie,0.355,0.565,0.749,0.0,0.154,-6.526,0,0.373,83.931,5,0.603,354234,France,0IbEikMmfMHeR4oEcMUO8O
63,IDGAF,0.0403,0.836,0.544,0.0,0.0824,-5.975,1,0.0943,97.028,4,0.51,353210,France,76cy1WJvNGJTj78UqeA5zr
64,J'me rappelle papa,0.52,0.666,0.817,0.0,0.3,-4.393,1,0.371,79.963,4,0.571,351296,France,2bztbvW5I25dLeNvhasgGa
65,Il le fallait,0.528,0.605,0.755,0.0,0.155,-4.17,0,0.297,88.431,4,0.662,344128,France,0eYDXaHB5FiZujkSOn5KM7
66,Praise The Lord (Da Shine) (feat. Skepta),0.0609,0.854,0.569,0.0816,0.1,-8.151,0,0.106,80.015,4,0.294,339278,France,7ycWLEP1GsNjVvcjawXz3z
67,Who Mad Again,0.0789,0.942,0.663,9.53e-06,0.0865,-4.721,1,0.0864,102.007,4,0.65,335142,France,6sZ2zjebkPsXTrxhvaRFJF
68,Shape of You,0.581,0.825,0.652,0.0,0.0931,-3.183,0,0.0802,95.977,4,0.931,330917,France,7qiZfU4dY1lWllzX7mPBI3
69,Yeux disent,0.553,0.741,0.628,2.97e-05,0.171,-7.13,0,0.172,113.699,4,0.365,326481,France,1uaAq8pSghvpVxlrOrgdeO
70,Call Out My Name,0.218,0.489,0.598,0.0,0.35,-4.929,1,0.036,134.045,3,0.172,326475,France,1gm616Plq4ScqNi7TVkZ5N
71,J'souris,0.426,0.7,0.579,0.0,0.126,-7.957,0,0.224,99.993,4,0.446,318310,France,7rQSQZMVwyobK4icEUrS6d
72,Bad Boy,0.431,0.796,0.496,5.51e-06,0.0781,-8.165,0,0.0388,97.988,4,0.716,312180,France,0N90EmHdOXLnTYDoeLwsmr
73,Prologue,0.925,0.734,0.627,0.0,0.084,-7.715,0,0.474,165.135,3,0.0637,312125,France,5uiN5q6xIUfu7uKydNOPKd
74,Sal?,0.391,0.763,0.604,0.0,0.272,-7.561,1,0.07,141.925,4,0.331,312115,France,0uBu60Wd7yzm2sFrj2hSr6
75,. Mosa?que solitaire,0.37,0.562,0.595,6.96e-06,0.13,-9.896,1,0.334,125.172,4,0.426,310435,France,1E3zyoTHtJzsu5CjwIFIhY
76,Mi Gna (feat. Hayko) - Ma?tre Gims Remix,0.277,0.771,0.745,0.0,0.376,-5.817,1,0.251,91.961,4,0.573,309709,France,3u3kWFntWbm4YrO5384wqF
77,Paradise (feat. Lomepal),0.151,0.705,0.579,0.0,0.107,-6.813,1,0.29,103.077,4,0.327,308446,France,00YUNap0MFncqzzuvwzUlS
78,La fuite - Vegedream X Dj Leska / Edit MIx,0.516,0.815,0.797,0.0,0.0969,-5.56,0,0.0567,105.015,4,0.924,307256,France,6ariFR8E7Z4WhjS6riI1Yi
79,Tueurs,0.666,0.67,0.659,2.48e-06,0.0999,-6.132,0,0.114,172.158,4,0.213,306093,France,3IQe7wqTyXxkqeMR8is76T
80,Mwaka Moon,0.227,0.787,0.536,0.0,0.105,-6.84,0,0.0852,155.014,4,0.305,305201,France,1vVZLmZq8gN8pPCEBLjPvD
81,In My Blood,0.0582,0.622,0.709,0.0,0.126,-7.32,1,0.0669,140.018,4,0.488,304319,France,21YnmkSDhUkmkkni22Svc4
82,De l'autre c?t? (feat. Nekfeu),0.6,0.633,0.658,0.0,0.0926,-6.168,0,0.164,113.951,4,0.512,304247,France,3ldfGgw7IoLHbaqmspX3ME
83,Medell?n,0.138,0.944,0.464,0.0,0.0891,-6.296,1,0.307,128.012,4,0.115,298723,France,1gI6FedOWXQ7aSj4FfEiGK
84,Un peu de r?ve (en duo avec Claudio Cap?o),0.431,0.686,0.651,0.0,0.0924,-4.798,0,0.304,176.227,4,0.792,295329,France,0kiNe5qx5O3CccrvsYL4Y6
85,. Macarena,0.213,0.777,0.549,1.73e-06,0.0494,-8.202,1,0.0614,129.908,4,0.245,290657,France,2UZW9WOPXdxw9YMG1bebS8
86,Havana (feat. Young Thug),0.184,0.765,0.523,3.56e-05,0.132,-4.333,1,0.03,104.988,4,0.394,286462,France,1rfofaqEpACxVEHIZBJe6W
87,rockstar (feat. 21 Savage),0.124,0.585,0.52,7.01e-05,0.131,-6.136,0,0.0712,159.801,4,0.129,286395,France,0e7ipj03S05BNilyu5bRzt
88,Billet,0.282,0.863,0.652,0.0,0.078,-7.875,0,0.0724,97.027,4,0.578,285885,France,5tblb3Aojs2S91eE1lxWxP
89,Audio,0.192,0.365,0.692,1.51e-06,0.0862,-4.586,0,0.0671,89.998,4,0.372,283193,France,7boPPE857KEqCIHNwFkDop
90,Back To You,0.0984,0.6,0.683,1.26e-06,0.11,-6.271,1,0.0493,102.036,4,0.494,281910,France,514rhnksEwHUh6LxXsQ4Y9
91,Recherch?,0.363,0.852,0.584,0.0,0.0923,-6.094,0,0.0837,140.044,4,0.662,281194,France,4ogvY05K9yCI6RqsC4aYEn
92,Reine,0.744,0.511,0.4,0.0,0.0883,-10.797,1,0.0541,97.487,4,0.739,280818,France,2HdCh16tdPjle1rm80Y6q7
93,"Mignon gar?on (feat. Naza, KeBlack & Dry)",0.0281,0.692,0.668,1.16e-06,0.372,-6.944,0,0.0554,116.988,4,0.942,280279,France,3fsxaVOcdrxun6islmsklq
94,Fais-moi un Vie,0.162,0.812,0.53,0.00226,0.132,-8.366,0,0.0602,120.024,4,0.172,280095,France,4TTLq43WaxxkYZE9mq9kPY
95,Pankani,0.61,0.711,0.848,0.0,0.104,-5.368,0,0.385,134.828,4,0.292,276701,France,2uq4DBILXSbWlpwH101qwr
96,Say Something (feat. Chris Stapleton),0.103,0.707,0.632,1.09e-05,0.0841,-7.031,1,0.0789,97.04,4,0.372,276558,France,1LhMopPAallLeaeNutqbgS
97,Whatever It Takes,0.0428,0.673,0.667,0.0,0.127,-4.977,1,0.0312,134.938,4,0.536,276260,France,7F3uo3304R2CTvOseU3H7u
98,Django,0.395,0.612,0.597,0.0,0.199,-6.743,0,0.236,195.817,4,0.718,275748,France,51PPDB9v8QOMkiUe06eYfc
99,Mine,0.0161,0.71,0.789,2.77e-06,0.451,-3.874,1,0.0722,142.929,4,0.717,274931,France,7uzmGiiJyRfuViKKK3lVmR
100,Mobali,0.11,0.812,0.803,0.0,0.0637,-5.386,0,0.141,123.066,4,0.93,269667,France,6xcXAVbDuVT1pCsa2rmDHY
101,Diarabi,0.252,0.792,0.702,0.0,0.0834,-6.193,0,0.399,101.028,4,0.761,269174,France,644Y6gowYTqtd2U2XNKzDS
102,Rose,0.445,0.876,0.443,0.0,0.118,-6.632,1,0.324,115.048,4,0.273,268503,France,4Ln4KAwk37peyCh2QpqYnP
103,SAD!,0.258,0.74,0.613,0.00372,0.123,-4.88,1,0.145,75.023,4,0.473,267002,France,3ee8Jmje8o58CHK66QrVC2
104,J'me balade,0.234,0.706,0.76,0.0,0.133,-4.457,0,0.4,179.225,4,0.555,264074,France,1J1kOOK7jAGfQeWAVYG3mJ
105,Viano,0.291,0.74,0.647,2.83e-06,0.113,-6.848,0,0.0665,159.967,4,0.507,262279,France,4OSEfpGKodfk38FYfqrF0X
106,Bienvenue ? La Banane,0.189,0.661,0.79,0.0,0.217,-4.641,0,0.229,154.952,4,0.708,260205,France,75150PNLhk4LZwCe3ytsUq
107,5 Juillet 1962,0.372,0.706,0.739,1.23e-06,0.0727,-4.95,0,0.289,85.11,4,0.508,259895,France,3FbxQchYmwLbHHjPCXU2dF
108,Loup garou (feat. Sofiane),0.232,0.776,0.758,0.0,0.124,-6.636,1,0.29,145.968,4,0.354,259639,France,5fuSDvNupEYnbjhZh8mQAq
109,Gotham,0.794,0.848,0.491,6.24e-06,0.114,-7.418,0,0.305,131.968,4,0.298,259293,France,1do4WVvFKBWnTSXfnYpHVZ
110,Tuba Life,0.148,0.725,0.691,0.0,0.0725,-4.784,1,0.164,152.18,4,0.385,258117,France,2r6C2IEw533mDs3sam5Zxx
111,Tierquar,0.352,0.919,0.478,0.0,0.0663,-5.557,0,0.117,119.858,4,0.513,258056,France,2UHODXuB7ZOomV4EaxuO0B
112,Youngblood,0.0169,0.596,0.854,0.0,0.124,-5.114,0,0.463,120.274,4,0.152,257685,France,55S2PQgSMYAhgoTCcGCDfw
113,Look Alive (feat. Drake),0.00104,0.922,0.581,5.86e-05,0.105,-7.495,1,0.27,140.022,4,0.595,256985,France,4qKcDkK6siZ7Jp1Jb4m0aL
114,Madre mia (feat. Ninho),0.0895,0.678,0.869,3.22e-06,0.164,-6.354,0,0.291,103.385,4,0.457,256398,France,37YNulvDhyzULfhHycmhEl
115,Carton rouge,0.195,0.854,0.866,1.85e-05,0.0991,-5.321,1,0.151,99.042,4,0.701,255344,France,2teiVa4Yniofma2Ffac5cL
116,Done for Me (feat. Kehlani),0.193,0.856,0.632,0.0,0.0688,-3.692,0,0.074,112.009,4,0.697,252655,France,1lsBTdE6MGsKeZCD6llNu7
117,Walk It Talk It,0.0876,0.907,0.633,2.6e-06,0.106,-5.145,1,0.184,145.914,4,0.395,252356,France,6n4U3TlzUGhdSFbUUhTvLP
118,Tu le C,0.0921,0.794,0.623,0.0,0.118,-5.416,0,0.297,161.822,4,0.384,252184,France,7dndJPTp6wuHXv3F8cxBhm
119,C'?tait la ure,0.284,0.65,0.631,0.0,0.111,-5.305,1,0.297,144.698,4,0.425,251225,France,7FFr71oifMRlVDHNAZ1mdb
120,La 9 - Ruinart,0.317,0.822,0.682,0.0,0.137,-8.579,0,0.106,130.053,4,0.596,248060,France,0lpfafOcflOR0Oz6E1fj48
121,Par amour,0.526,0.567,0.654,0.0,0.125,-6.361,0,0.0913,120.111,5,0.711,247921,France,3alSzdz0U10gV2aXVigYkT
122,Bo?te auto,0.0734,0.749,0.851,0.0,0.262,-5.362,0,0.0808,96.957,4,0.657,247242,France,0C3KHrP7Iacgn0PTvb6VzT
123,All The Stars (with SZA),0.0605,0.698,0.633,0.000194,0.0926,-4.946,1,0.0597,96.924,4,0.552,245186,France,3GCdLUSnKSMJhs4Tj6CV3s
124,D??u,0.75,0.815,0.737,0.0,0.0803,-6.527,0,0.121,118.011,4,0.521,244455,France,4nwaspo2KFGvNAfWmN4Bpv
125,Sous contr?le,0.282,0.662,0.736,0.0,0.103,-6.501,1,0.244,145.98,4,0.713,241414,France,64qdods9r5p6wovmRZdyg3
126,On n'est pas les m?mes,0.607,0.712,0.736,0.0,0.198,-6.25,0,0.279,144.715,4,0.721,240383,France,7roBbHcws6ssGzqu4IfGCt
127,Qu'est ce que t'as ?,0.559,0.742,0.571,0.0,0.354,-8.629,0,0.0477,101.987,4,0.484,239218,France,0ALYbFTZypQZLwDAPuYECq
128,For You (Fifty Shades Freed) (& Rita Ora),0.0188,0.483,0.799,0.0,0.226,-4.567,0,0.0366,112.946,4,0.171,236461,France,5hM6sP0Gh1jD57drszNueC
129,Bling Bling,0.503,0.891,0.699,0.0,0.0926,-5.75,0,0.0756,94.928,4,0.566,234388,France,4s7OqcUEyLJ1RkbzBopRGt
130,Friday,0.677,0.777,0.779,0.0,0.11,-3.127,0,0.0927,124.589,4,0.371,232605,France,1CYj9Yx8zrYvU93khXvmsA
131,F?te de trop,0.114,0.653,0.389,0.0,0.119,-8.712,1,0.0981,139.802,4,0.45,232540,France,34NiK5XnPwHp17MGlyewXA
132,Bourgeoisie,0.31,0.792,0.615,0.0,0.136,-6.191,1,0.358,76.978,4,0.485,231784,France,6KPTsPIe7faR13q8IfG0l8
133,Cartel (feat. Meryl),0.167,0.763,0.617,0.0,0.131,-6.164,0,0.0791,77.028,4,0.778,231729,France,4rZ9c0yxEuhoQ6fSXFqKJQ
134,Potentiel (feat. Orelsan),0.335,0.809,0.653,0.0,0.11,-7.178,0,0.306,139.981,4,0.639,231345,France,0rs6jxe3647mGSc7l18Cq8
135,Ren? Croco,0.508,0.775,0.831,0.0,0.15,-4.594,1,0.25,90.056,4,0.755,230717,France,2Q4bcBymqxBYvO18kX63qe
136,Rien de nouveau,0.535,0.748,0.559,0.0,0.0935,-6.987,1,0.278,146.036,4,0.391,229912,France,5Ji6WkHJKJOiAfSjRAriYE
137,. Signaler,0.511,0.647,0.7,3.96e-05,0.088,-9.007,0,0.0562,176.122,4,0.949,227498,France,03aduXwm6cTqO9bb4XFQ2b
138,Noche,0.359,0.759,0.547,0.0,0.0996,-7.717,0,0.351,126.992,4,0.249,227044,France,4eUxD9V0Df1prftDNBpQ9Z
139,Valise,0.572,0.699,0.707,0.0,0.215,-6.788,1,0.104,129.981,4,0.603,224630,France,2bXZtkOqVVlSt1lpzV9jRv
140,Jusqu'au dernier gramme,0.542,0.762,0.6,0.0,0.0841,-7.585,0,0.0909,115.908,4,0.39,224215,France,2jBleFNl3YK8lyJc1OvxXt
141,J'?tais pas pr?t,0.604,0.639,0.68,0.0,0.0888,-5.242,1,0.318,100.126,4,0.404,223699,France,6GMNgRBw9Xo3pMl4KK3BVD
142,Mon survet,0.0165,0.675,0.659,0.0,0.0994,-6.035,1,0.164,149.88,4,0.209,223559,France,3uPYBQIJzsH4MXq70BJG6S
143,Jok'Rambo,0.0364,0.628,0.553,0.0,0.134,-7.405,0,0.193,127.632,4,0.431,218065,France,1MaHVMpuNlFP25HAD6me0c
144,Pour les jaja,0.136,0.589,0.731,0.0,0.599,-3.846,1,0.528,98.914,5,0.385,216452,France,5fC0WP5ZXzDpuP49e06e75
145,44 (feat. Yaro),0.0837,0.739,0.548,0.0,0.141,-7.979,1,0.0494,129.995,4,0.278,215863,France,46ZOMbOANX8TlyEamO31MJ
146,Sick Boy,0.104,0.548,0.58,0.0,0.127,-7.524,0,0.121,180.066,4,0.462,214533,France,08hm0V6cTsWDX62hW42sEv
147,Cam?l?on,0.233,0.77,0.794,2.54e-06,0.0735,-4.284,0,0.0479,109.975,4,0.624,214406,France,1aZwu6M7UXQxaxpTLCMyhB
148,Longue vie,0.506,0.817,0.73,0.0,0.123,-4.217,0,0.349,153.014,4,0.446,214101,France,6U0p0b3ma0MgBwNc8i26xw
149,N. J Respect R,0.426,0.747,0.434,0.000405,0.108,-8.3,0,0.0828,127.052,4,0.311,212272,France,75UFzgBCaVwJJ4IVIaatpe
150,24 Solo,0.427,0.846,0.858,0.0,0.117,-4.41,0,0.483,109.964,4,0.557,208710,France,5dykJG3Olwvrmtr8yxHfEX
151,Pav?,0.484,0.517,0.741,0.0,0.119,-5.741,0,0.409,79.124,4,0.568,205581,France,2E0sFoOodpQIaEpglLudU6
152,Life,0.554,0.554,0.497,0.0,0.0871,-7.914,0,0.352,84.499,4,0.459,203995,France,1oHh0DAi8nJDORn90H97QA
153,Playinwitme (feat. Kehlani),0.339,0.689,0.584,0.0,0.297,-5.768,0,0.119,156.572,4,0.676,203692,France,4F1yvJfQ7gJkrcgFJQDjOr
154,lovely (with Khalid),0.934,0.351,0.296,0.0,0.095,-10.109,0,0.0333,115.284,4,0.12,201750,France,0u2P5u6lvoDfwTYjAADbn4
155,Calma,0.0266,0.808,0.862,2.77e-05,0.0958,-5.212,0,0.1,114.036,4,0.881,200513,France,6kNiPWkBtlizeFtfGcukaC
156,Ton poto,0.627,0.804,0.818,0.0,0.0872,-4.595,1,0.333,140.874,4,0.433,198739,France,044vzxTq3zEHrcfd805NK2
157,Dragon,0.272,0.665,0.804,0.0,0.69,-5.267,1,0.141,121.031,4,0.175,198628,France,6dotEcliwGD3yrJaUHO621
158,R?seaux,0.168,0.795,0.667,0.0,0.126,-6.429,1,0.225,150.072,4,0.31,198143,France,2nY6MRHWpW0AGXMoGDJOjX
159,Yes Indeed,0.0355,0.963,0.346,0.0,0.108,-9.309,0,0.53,119.957,4,0.562,196563,France,6vN77lE9LK6HP2DewaN6HZ
160,Dans la ville,0.32,0.679,0.599,0.0,0.0887,-8.684,0,0.245,110.014,4,0.282,196516,France,0OdJDO164ngWHxCzIPwsY9
161,Kid,0.0677,0.718,0.558,0.0,0.227,-8.232,1,0.198,143.899,4,0.454,193891,France,6kkcWYSlRg2DofC3qcWItr
162,Rien n'a chang?,0.331,0.571,0.846,0.0,0.146,-3.976,1,0.442,119.927,4,0.393,193139,France,3auxQP0DcpdvVarAmH2sls
163,Youth feat. Khalid,0.569,0.518,0.596,0.0,0.133,-6.653,0,0.124,100.28,4,0.326,193104,France,5SwEgzUFDHwpWHKrbnP32Z
164,Ta marini?re,0.305,0.549,0.788,0.0,0.0847,-3.878,0,0.0685,122.19,4,0.435,192561,France,4cSqYCRAdW3AAT8yrvMrkW
165,Dusk Till Dawn - Radio Edit,0.101,0.258,0.437,1.27e-06,0.106,-6.593,0,0.039,180.043,4,0.0967,191939,France,1j4kHkkpqZRBwE0A4CN4Yv
166,Moonlight,0.556,0.921,0.537,0.00404,0.102,-5.723,0,0.0804,128.009,4,0.711,191908,France,0JP9xo3adEtGSdUEISiszL
167,Stargazing,0.152,0.677,0.497,0.0,0.0911,-5.763,1,0.0809,99.137,4,0.419,191625,France,0Zbbxnx4SGGHoIow4PpISP
168,Sicario,0.562,0.848,0.837,2.9e-06,0.118,-6.409,0,0.166,125.943,4,0.552,191235,France,3dQ1dbZKG7njiJ4cnXwEJk
169,Feel It Still,0.0417,0.801,0.795,0.000113,0.0717,-5.115,0,0.0504,79.028,4,0.754,189815,France,6QgjcU0zLnzq5OrUoSZ3OK
170,?chame La Culpa,0.0322,0.724,0.895,0.0,0.097,-3.617,1,0.0411,96.022,4,0.64,186714,France,1zsG4eaZmkA1dvjDDsAGLK
