,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
90,"4 Life","Jonna Fraser",291704,https://open.spotify.com/track/4BV8ZyGLSNpt12q3OiZlOX
91,"RITMO (Bad Boys For Life)","Black Eyed Peas",290800,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
92,Shallow,"Lady Gaga",281497,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
93,Moment,"Kris Kross Amsterdam",281372,https://open.spotify.com/track/0J6sITdD8JMUBKaadJLV1U
94,Eleven,Khalid,280610,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
95,BOP,DaBaby,277070,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
96,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",273331,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
97,Drukken,Hef,273159,https://open.spotify.com/track/7rrofCTIXLWuiiCFhKgXID
98,Juppig,ChildsPlay,271875,https://open.spotify.com/track/0cWaeIRKpvONSfktDzK4fN
99,"Don't Call Me Up",Mabel,270825,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
100,"Say So","Doja Cat",267388,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
101,Omhoog,Esko,266001,https://open.spotify.com/track/55CZrhOjk8eGiv5LHV8yvG
102,"Waarom Zoeken Naar Liefde",Josylvio,263835,https://open.spotify.com/track/7xprYJg18VvGOXqg8RgHau
103,Arcade,"Duncan Laurence",262090,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
104,"On the Low","Burna Boy",261920,https://open.spotify.com/track/1PoJXULCvl03b1fiZmMxmd
105,SUGAR,BROCKHAMPTON,261743,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
106,"Goodbyes (Feat. Young Thug)","Post Malone",259497,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
107,"Ballin' (with Roddy Ricch)",Mustard,258145,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
108,"Verleden Tijd",Frenna,255089,https://open.spotify.com/track/7qkqUFKET2tAjVHLxlLYOe
109,"Piece Of Your Heart",MEDUZA,254343,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
110,Instagram,"Dimitri Vegas & Like Mike",251904,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
111,Heartless,"The Weeknd",250088,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
112,"when the party's over","Billie Eilish",250071,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
113,Ritual,Tiësto,246033,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
114,"Wat Heb Je Nou Gedaan","Ruben Annink",245088,https://open.spotify.com/track/4w05OzjFa1duKC7myTwN2W
115,"Higher Love",Kygo,243585,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
116,POSITIE,Caza,241770,https://open.spotify.com/track/5dVXY5359o7XBmfoNCBMxg
117,"Heter Dan Hel",Geechi,240112,https://open.spotify.com/track/2Ypvxp3axyup6jbTDK78le
118,Peligroso,Morad,239611,https://open.spotify.com/track/4h7r9RkoxTLfIzVfMvKOwS
119,"Spanning (feat. JayMoreLife)","Young Ellens",239454,https://open.spotify.com/track/1qFQ7MRkGvLO8Q4MAAtFkt
120,"lovely (with Khalid)","Billie Eilish",238708,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
121,"Ayy Macarena",Tyga,238565,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
122,"GUAP (feat. Dopebwoy)",Boef,237792,https://open.spotify.com/track/3J6KEr0wjZbKPpa70cXzHI
123,Shooter,"Qlas & Blacka",237687,https://open.spotify.com/track/7y2r0n2RRnLhoqSCiysFFa
124,"You Say","Lauren Daigle",237331,https://open.spotify.com/track/6Up545NUflOiXo8cEraH49
125,Muévelo,"Nicky Jam",237239,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
126,IJskoud,Nielson,236955,https://open.spotify.com/track/2zVNIG9cfMyFxt8XqJ64s4
127,Schuif,LA$$A,236598,https://open.spotify.com/track/0SEzUzbEk1v6aFsfW73Ojt
128,Tusa,"KAROL G",236081,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
129,Ella,"Sky Rompiendo",233891,https://open.spotify.com/track/632nG63R5kBknT9pzhpKeU
130,Bruises,"Lewis Capaldi",233887,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
131,"Hoofd Omhoog",Snelle,233458,https://open.spotify.com/track/0ef3oGCr68egpk9udxlERA
132,Zelfdefensie,Ares,232675,https://open.spotify.com/track/4xUZ2FCeRQtmck6Qn7vL6G
133,"Ik Sta Jou Beter","Kris Kross Amsterdam",231750,https://open.spotify.com/track/12k0NUMsOO9SK7CnY5ABkU
134,"Niet Gelukkig",KNALLER,230317,https://open.spotify.com/track/4ba0KBpn6XIt4R8GbwTD25
135,"Futsal Shuffle 2020","Lil Uzi Vert",230240,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
136,"Bando Baby","Sevn Alias",229773,https://open.spotify.com/track/3Nu97aF5QRUpJeN7UWGnGC
137,Ai,Tabitha,228258,https://open.spotify.com/track/2dEoEy7wqvJ4xq90lrPEwU
138,"Ik Probeer Het",Hef,227142,https://open.spotify.com/track/33KBrR3d2tZb0NsLP4DOAs
