,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
89,Smog,Damso,403136,https://open.spotify.com/track/1h1wmYG39fp6ZTgwlJ3Cv3
90,Avenue Montaigne,Maes,401079,https://open.spotify.com/track/1ULXeq61H4kRztBNb7HaAl
91,Blah Blah Blah,Armin van Buuren,395387,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
92,T?n?breux #1,Koba LaD,389820,https://open.spotify.com/track/13AUrZzDjQujeXMh8kTVIU
93,Ta reine,Ang?le,389340,https://open.spotify.com/track/3iXhLi33EpUfcOwasC8un1
94,Fendi,Ninho,388856,https://open.spotify.com/track/7BtAkqRFQjvOYOq5k5mlCb
95,Sheitana (feat. Ninho),Hornet La Frappe,385018,https://open.spotify.com/track/1GOIfWQmA3Tp6GlwcCd35K
96,La 10,Timal,382273,https://open.spotify.com/track/6jC8o3FMrsHS7B1tvxDnyf
97,Lionne,Dadju,375072,https://open.spotify.com/track/3n3yFT4dGJuDRsF9mxdgc1
98,Bucci Night,Yaro,371241,https://open.spotify.com/track/03O32oEi0jJsbmcHMjCPBD
99,In My Feelings,Drake,370384,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
100,Un Poco,Ninho,369579,https://open.spotify.com/track/3MVTefqbeNX5yHFOmnHy3X
101,Bep Bep,Sadek,369415,https://open.spotify.com/track/2OVUqdAlg02DbH5H6ouaCm
102,Paradise (feat. Lomepal),Lefa,367088,https://open.spotify.com/track/00YUNap0MFncqzzuvwzUlS
103,B?b?,MHD,366557,https://open.spotify.com/track/2sjJrFhDT0oP3fyCocTVyX
104,La loi de Murphy,Ang?le,363955,https://open.spotify.com/track/1UQKfmCH2wxVXTAVMUXiEj
105,Waow (feat. Nekfeu),PLK,363129,https://open.spotify.com/track/6JtIPRPfMx1XA7OHAYpZIf
106,Ouais ouais,Zola,363080,https://open.spotify.com/track/3mkhFrhySGu8xhlWDRxhUc
107,M.I.L.S 2.0,Ninho,356951,https://open.spotify.com/track/1qRZfv2ZbAZGPnfbIV3YvD
108,Falling Down - Bonus Track,Lil Peep,355465,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
109,#DansLeTierquar (Nantes),RK,355210,https://open.spotify.com/track/3MQuCR2TFmqm34qvckAVjJ
110,La m?me,GIMS,353528,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg
111,Body (feat. brando),Loud Luxury,353427,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
112,Apollonia,Dadju,349964,https://open.spotify.com/track/40Ze60ybC3y2pJLfmYjcfU
113,We Can Do Better,Matt Simons,345423,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
114,Suge,Koba LaD,344983,https://open.spotify.com/track/6tG5G78USqn2NTHhApWFKU
115,Hier (feat. SCH),PLK,341433,https://open.spotify.com/track/7Fe8MO5HKHfKiWo7I0XtVr
116,Nombreux,Ang?le,340789,https://open.spotify.com/track/59HKbTnmmFONvKLAPuc9rF
117,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,339912,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
118,"Mon pays, c'est l'amour",Johnny Hallyday,339720,https://open.spotify.com/track/0HP4zffjrcJJy3gOuFs2VV
119,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,339267,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
120,One Kiss (with Dua Lipa),Calvin Harris,338724,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
121,Hit Sale (feat. Rom?o Elvis),Therapie TAXI,337672,https://open.spotify.com/track/3yndKI4zWEyC36BQYrdKBA
122,Pardonne-moi,Johnny Hallyday,337097,https://open.spotify.com/track/6PQAihC4JERibFvkTUQPXN
123,Honey,Koba LaD,336265,https://open.spotify.com/track/6cedbT0YMh9TWjYUJboOZg
124,Seven Binks,Koba LaD,336116,https://open.spotify.com/track/27ttKRZGALgDyoFCxzxNP0
125,Born To Be Yours,Kygo,335510,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc
126,Tout est bon,DJ Babs,335346,https://open.spotify.com/track/5pIo87IJw1JsyLqF0ETO6q
127,Pour oublier,Kendji Girac,333687,https://open.spotify.com/track/3wyQDkVQ4ZyV6TbnUxMbiU
128,Par amour,Dadju,333211,https://open.spotify.com/track/7vaHVmMKvajDN4IwtNslnI
129,Paradise (feat. Benjamin Ingrosso),Ofenbach,327832,https://open.spotify.com/track/50SEeQXOJgaXPv2S0v7ded
130,Qui je suis,RK,327746,https://open.spotify.com/track/5ljnqaI6x5IaYxKQ86eo6B
131,Be Alright,Dean Lewis,326264,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
132,Mafiosa (feat. Caroliina),Lartiste,325598,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
133,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,325454,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
134,Les matins,Ang?le,322040,https://open.spotify.com/track/2zWpMvvYIOeklOAalITppF
135,Santana,Alonzo,315109,https://open.spotify.com/track/0G0WC5ghZRRH6LJNNXtK1W
136,Moi ?a m'ira,DTF,314701,https://open.spotify.com/track/4tx5ejrAuFI3ohiFHVBBck
137,Nevermind,Dennis Lloyd,311868,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
138,Polak,PLK,311629,https://open.spotify.com/track/4iZyV51cchO1FsaQx5c0N9
139,Flemme,Ang?le,306459,https://open.spotify.com/track/2TL8q8EO60b9lWeozfqYnG
140,Without Me,Halsey,305944,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
141,J'me balade,RK,303656,https://open.spotify.com/track/02ij9yuZr4jjdTB4qwsFDe
142,De l'autre c?t? (feat. Nekfeu),Ninho,302739,https://open.spotify.com/track/3ldfGgw7IoLHbaqmspX3ME
143,Mon reuf,RK,301050,https://open.spotify.com/track/3r8mIGZFYH10rg7X34RmmI
144,Eastside (with Halsey & Khalid),benny blanco,300530,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
145,A chaque jour...,Dosseh,299827,https://open.spotify.com/track/0Vi7aOPdOU683VUfZ79c0d
146,Bob Marley,Dadju,299071,https://open.spotify.com/track/2qXmVc811574AdIdDgayRP
147,Je veux tes yeux,Ang?le,298726,https://open.spotify.com/track/1ZV4ZCUVOwt5gSnWoQEnY2
148,Tout,Koba LaD,296372,https://open.spotify.com/track/2SWBWoXNgduC3MtVamamZR
149,A l'Ammoniaque,PNL,295923,https://open.spotify.com/track/6aH3QgooXRmx8k8jzrSm3V
150,Flou,Ang?le,295804,https://open.spotify.com/track/3b89BehicGUgc60pLBo092
151,Shape of You,Ed Sheeran,294570,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
152,D?saccord?,Vald,293989,https://open.spotify.com/track/4ueL4j6iOPX23UG5VsvGrm
153,L'addition,Heuss L'enfoir?,292638,https://open.spotify.com/track/1BTbYlGVDXdj7EJKarrYV9
154,Toto et Ninetta,Jul,290998,https://open.spotify.com/track/4DMSNaJcSirQN31BSf2BeZ
155,Karma,Scridge,290784,https://open.spotify.com/track/03jOPJpObfGDPUHdb8uLUe
156,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,286179,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
157,Better,Khalid,284566,https://open.spotify.com/track/2OpBganfGk2GVdSlRdxzaX
158,Made in Rock'n'Roll,Johnny Hallyday,279871,https://open.spotify.com/track/2t0sBwuekQRURAL6vo9nsi
159,Victime des r?seaux,Ang?le,278593,https://open.spotify.com/track/6CRn2SOULrzIuqll4nH2lG
160,I Like It,Cardi B,278477,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
161,Ips?it? - Bonus Track,Damso,277891,https://open.spotify.com/track/1bWACDppxjESmjkXMl6cnI
162,Revoir,J?r?my Frerot,277774,https://open.spotify.com/track/7dXY0BIuVGLCIgjuu2jkrs
163,La Cintura,Alvaro Soler,277590,https://open.spotify.com/track/1BFmBgVOnLy3Ekrxz1lBOK
164,Christina,Dadju,276773,https://open.spotify.com/track/5qqQwdqSY0mpHG5xA03eQU
165,Sombre,Kalash Criminel,276363,https://open.spotify.com/track/0Hac2wAHQ8faIR2jfdeOfq
166,Reine,Dadju,275594,https://open.spotify.com/track/1bxP4M9ICllcg7mel8kH89
167,Dans ma chambre,RK,275034,https://open.spotify.com/track/7DM1INNIqjaHNcEoDgc9ws
168,Elle m'a dit (feat. Haristone),Still Fresh,273973,https://open.spotify.com/track/3QYrzT43AwLCiah1df6new
169,P*Tain de m*Rde,Naza,271936,https://open.spotify.com/track/1OYliHobfsVlwcnQqtSSEE
170,Borderline,Columbine,270485,https://open.spotify.com/track/1op3nCu1EYmenuL7GGu8fv
171,Jackie Chan,Ti?sto,269390,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
172,SICKO MODE,Travis Scott,265028,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
173,Bandolero,Moha La Squale,263136,https://open.spotify.com/track/7sL89oFc1AcgjG5Q6tCkID
174,I'm a Mess,Bebe Rexha,263063,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
175,Yeux disent,Lomepal,261302,https://open.spotify.com/track/0RsI4r9abN1pSFJro36Hon
176,Always Remember Us This Way,Lady Gaga,260717,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
177,Sweet but Psycho,Ava Max,258459,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
178,La fuite - Vegedream X Dj Leska / Edit MIx,Vegedream,258043,https://open.spotify.com/track/5Lh8rn501oEvsIJjPxNBhE
179,Everyday,Koba LaD,256281,https://open.spotify.com/track/7nm1HOvqje0k7N3mv44NJC
180,Polia,Doks,255148,https://open.spotify.com/track/3QfP9OWKwoCKO9d0iv5W6I
181,Recul,Koba LaD,254634,https://open.spotify.com/track/0nlZOebhoPbC6collvr5uG
182,Interlude,Johnny Hallyday,253678,https://open.spotify.com/track/32lBef0wrjpPIe3Svy9toT
183,Arrivant,Timal,253309,https://open.spotify.com/track/6dN7nkvH6HaRxVQETt6agT
184,Idiote,PLK,252873,https://open.spotify.com/track/3I0nYOtBkjI7LIfakLxKhb
185,4m2,Johnny Hallyday,252033,https://open.spotify.com/track/17aAJzeHinyvV4rplG2Mnw
186,Let Me Live (feat. Anne-Marie & Mr Eazi),Rudimental,250205,https://open.spotify.com/track/3D1rlKmZdpYUeMtRRLNawc
187,Bart Simpson,Columbine,249733,https://open.spotify.com/track/1M4U4UhbLrsX6JFIziHDkc
188,rockstar (feat. 21 Savage),Post Malone,247649,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
189,Nouvelle monnaie,Landy,246909,https://open.spotify.com/track/7006NKCGUmFtdJJUSfhOIx
190,Marchand de sable Part. 4 (Du SAal),Vegedream,245904,https://open.spotify.com/track/42QPEIMiFx1mXF0OMW0vVL
191,J'repars ? la guerre,RK,243778,https://open.spotify.com/track/3SOZQfpt6p1Fh6bTj07AVp
192,Say My Name,David Guetta,241913,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
193,Ta marini?re,Hoshi,241588,https://open.spotify.com/track/4cSqYCRAdW3AAT8yrvMrkW
194,On sait,RK,240432,https://open.spotify.com/track/1TNw5pDSZNQ3uLsq3bcYAH
195,?ternit?,Jazzy Bazz,239868,https://open.spotify.com/track/3R5atTEAiKBu5t3tZ3D0Uz
196,Jocelyn Flores,XXXTENTACION,239118,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
197,Back in LA,Johnny Hallyday,238755,https://open.spotify.com/track/4s2Vg6zMOaSVpHCCuEd2mo
198,Taste (feat. Offset),Tyga,238297,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
199,Rose,Ninho,234756,https://open.spotify.com/track/4Ln4KAwk37peyCh2QpqYnP
200,Cagoul?,Siboy,233152,https://open.spotify.com/track/1J36AN2Rkmd9HUY4VpIZdf
