,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
79,Unstoppable,0.112,0.468,0.779,0.000373,0.101,-4.839,1,0.0779,173.799,4,0.26,570846,France,2J2Z1SkXYghSajLibnQHOa
80,Monster,0.0253,0.83,0.794,0.0248,0.106,-6.279,0,0.432,128.16,4,0.607,568239,France,0YU17F0BlVXvmx5ytsR43w
81,?a va ?a vient,0.225,0.597,0.71,0.0,0.0802,-5.613,0,0.131,103.87,4,0.544,562485,France,3xbws1uOAaxeTPEviKWONY
82,Circles,0.192,0.695,0.762,0.00244,0.0863,-3.497,1,0.0395,120.042,4,0.553,551659,France,21jGcNKet2qwijlDFuPiPb
83,Loin de moi,0.635,0.892,0.459,4.4e-05,0.062,-8.316,0,0.239,96.975,4,0.501,549321,France,30kxl4FnaEFS2qZkec3Zak
84,Cavaler,0.445,0.767,0.778,0.0,0.115,-5.634,0,0.0518,99.976,4,0.603,542081,France,5zTlgYZL7vsQtqKOm7weDu
85,Trou de boulette,0.674,0.672,0.614,0.0,0.106,-7.548,0,0.0544,146.01,4,0.0778,541941,France,2Q57Pdb9DMXfsZiNFLDWqv
86,SOLITERRIEN,0.281,0.748,0.607,0.00292,0.11,-8.494,1,0.244,150.011,4,0.349,539980,France,7qj2pdwGVmN7E26nMVFeMq
87,Au DD,0.293,0.777,0.698,2.32e-05,0.0908,-7.706,0,0.0704,119.963,4,0.119,534376,France,5lCxlSBFyP5g4EhVypAoOu
88,C'est pas des LOL,0.187,0.939,0.7,0.0,0.094,-6.526,0,0.0519,132.004,4,0.886,523262,France,7zzhknA0A39TH81meuX7WA
89,Quotidien,0.261,0.827,0.626,0.0,0.193,-7.744,0,0.202,139.973,4,0.674,512683,France,2abVYMtriZHHIDGFZFT5ij
90,Tomb?,0.555,0.648,0.558,0.0,0.107,-8.372,1,0.0569,113.025,4,0.546,505465,France,399mh97iAmjU34de5MebHp
91,Funky Drugs,0.619,0.816,0.559,1.29e-06,0.0674,-7.234,1,0.0742,110.041,4,0.72,502180,France,2sbzCv1Enilx8Ay06wlw1Y
92,South of the Border (feat. Camila Cabello & Cardi B),0.148,0.857,0.621,0.0,0.0865,-6.376,0,0.0825,97.989,4,0.668,501915,France,4vUmTMuQqjdnvlZmAH61Qk
93,C?te Ouest,0.56,0.749,0.593,0.0,0.16,-7.96,1,0.144,76.032,4,0.613,495116,France,5Q8gCS68FITJDiWnedMejb
94,B?n?fice max,0.00398,0.763,0.516,0.0,0.142,-7.082,0,0.0557,131.985,4,0.483,494625,France,2tA1UUhk2WH3wI1nAXSNBc
95,GLAIVE,0.427,0.667,0.825,0.0,0.297,-4.237,1,0.391,78.685,4,0.866,489883,France,4kgHfnWMk3rK5upoZgJrFr
96,Be Honest (feat. Burna Boy),0.311,0.757,0.737,0.0,0.113,-6.728,0,0.114,98.057,4,0.635,480387,France,5pAbCxt9e3f81lOmjIXwzd
97,Hola Se?orita,0.386,0.588,0.796,0.0,0.198,-3.945,0,0.262,192.128,4,0.546,470983,France,5vLEmh5EolySKTvXsyWSOg
98,Binks,0.334,0.861,0.636,0.0,0.102,-6.713,1,0.0701,122.064,4,0.445,467842,France,1kX5NXQDQbvqhxvisCv1Ok
99,Only Human,0.108,0.795,0.496,0.0,0.0645,-5.883,1,0.0722,94.01,4,0.874,460700,France,0DiDStADDVh3SvAsoJAFMk
100,Takeaway (feat. Lennon Stella),0.12,0.294,0.505,0.0,0.0977,-8.106,1,0.042,85.332,1,0.357,460368,France,6wo37KVqFJhtuxPTpLCcfe
101,Damdamdeo,0.322,0.932,0.784,0.0,0.0824,-7.045,1,0.139,138.165,4,0.75,455804,France,1r7Uste80NvDFq2ejM2K5D
102,Goodbyes (Feat. Young Thug),0.447,0.58,0.653,0.0,0.111,-3.818,1,0.0745,150.231,4,0.175,455162,France,6vBdBCoOhKHiYDDOcorfNo
103,Oulalah,0.0687,0.782,0.588,1.61e-05,0.106,-6.934,1,0.212,90.02,4,0.686,452672,France,2pxgWydgVrpNU01JPVx47q
104,Bad Boy,0.205,0.726,0.71,0.0,0.273,-5.985,0,0.176,160.868,4,0.397,449987,France,6IbOaypphyxm40ZkmfBoY3
105,Tel Me,0.366,0.841,0.668,1.28e-05,0.103,-6.802,0,0.16,73.991,4,0.736,448417,France,4ml7hnH3FtGeUDMhzVmnrj
106,Matin,0.423,0.734,0.588,0.0,0.124,-8.345,0,0.234,124.128,4,0.581,443743,France,3COpbW4W1Qab0ZqiHZxdjv
107,Trop beau,0.295,0.748,0.66,5.56e-06,0.0883,-6.034,0,0.0404,123.902,4,0.324,441625,France,4WB9OeauHXnGOMUK4s80gM
108,Elle pleut,0.724,0.62,0.375,2.86e-06,0.125,-11.064,1,0.455,92.641,4,0.226,438900,France,4kqsT3yDyJr1KZ2AkM9qfD
109,Balance ton quoi,0.594,0.703,0.442,2.39e-05,0.276,-10.383,1,0.0823,115.932,4,0.381,431238,France,2jX5c5RFp0A9E1GDsvGxIa
110,Cheum,0.273,0.872,0.613,0.0,0.0818,-4.884,1,0.32,139.885,4,0.343,423139,France,5dkSQ8ExtSaS5diqiQosOk
111,Donnez-moi,0.076,0.768,0.509,0.0,0.149,-9.54,1,0.0446,125.004,4,0.69,422445,France,565cBVRiWMVLopvwOcpoQ5
112,Les m?chants,0.362,0.675,0.626,0.0,0.0999,-5.648,0,0.303,192.011,4,0.512,418574,France,0r64LBR8RlnXcdd5HTFubd
113,Mendoza,0.262,0.829,0.55,0.0,0.14,-7.565,0,0.281,126.975,4,0.499,417745,France,32md7VvQTg5kQqPnbHFjx5
114,Lights Up,0.0426,0.585,0.62,0.00224,0.15,-8.09,0,0.0327,101.939,4,0.281,414402,France,2plLJpUcYPFrl1sW2pMG63
115,Paris la nuit,0.486,0.834,0.457,0.0,0.171,-8.123,0,0.112,117.974,4,0.617,414123,France,3A0csITpF6D94TodOVerjV
116,Mon gamos,0.194,0.758,0.731,1.06e-06,0.123,-6.653,1,0.0888,159.952,4,0.522,413294,France,4kzHvb8oyj2wPS8YX7tOX9
117,On ira o? ?,0.771,0.613,0.562,0.0,0.108,-7.906,1,0.0404,95.022,4,0.116,412485,France,0IEpczRj5ucpkrr1q5wk0c
118,J'h?site,0.375,0.666,0.599,6.07e-06,0.107,-8.29,0,0.0467,109.998,4,0.246,410787,France,56hN0LtdEb8d8Ka0gVUzo1
119,bad guy,0.328,0.701,0.425,0.13,0.1,-10.965,1,0.375,135.128,4,0.562,407984,France,2Fxmhks0bxGSBdJ92vM42m
120,Le coach (feat. Vincenzo),0.155,0.909,0.797,0.0,0.166,-4.827,0,0.208,128.064,4,0.834,401996,France,1RighqmKZNqLP9rklJ4HCz
