,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
90,Ticket,Seeed,664721,https://open.spotify.com/track/6frjeqCOrcb010qUtilQ0K
91,Nomer Odin,Olexesh,657382,https://open.spotify.com/track/39APwU7CrTum5B7AHoRdfc
92,Cabriolet,Capital Bra,657010,https://open.spotify.com/track/5544wzOCuqHpqNELk3zYxA
93,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,651268,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
94,Tausend Tattoos,Sido,650191,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu
95,Trance,Qzeng,648868,https://open.spotify.com/track/5eA0fLfQRw9WuX34ZRPvAT
96,Makatussin,LX,648739,https://open.spotify.com/track/79ADo3AvvlZKOVr4lrlToG
97,Super Lemon Haze,LX,647277,https://open.spotify.com/track/2Y6m0Qh5HvO3rikg7dlCav
98,Earth,Lil Dicky,646668,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO
99,Power is Power (feat. The Weeknd & Travis Scott),SZA,641069,https://open.spotify.com/track/4cbdPT6uaBOgOQe3fLMofl
100,In der Nacht,KC Rebell,632188,https://open.spotify.com/track/6mUGF0w6dkOcEosV0EpKWm
101,HaifischNikez Allstars,LX,626554,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP
102,Talk (feat. Disclosure),Khalid,623815,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
103,Without Me,Halsey,619995,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
104,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,619869,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
105,Body (feat. brando),Loud Luxury,618326,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
106,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,612109,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
107,Dealer,LX,603555,https://open.spotify.com/track/1oBsrVp5CpLVpxX0WdHQvt
108,Goddamn (feat. A Boogie wit da Hoodie),Tyga,600283,https://open.spotify.com/track/0Zl4G9qcdXV5hVhdOirNHG
109,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,592887,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
110,Casanova,Summer Cem,588269,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40
111,Copacabana,Leon Machère,584199,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH
112,Walk Me Home,P!nk,579846,https://open.spotify.com/track/6jfEZdUJ2Yla6h7gTJgKuo
113,Happier,Marshmello,574662,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
114,Say My Name,David Guetta,574000,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
115,lovely,Billie Eilish,573732,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
116,Sollte so sein,Capital Bra,571298,https://open.spotify.com/track/08i2ITRSVDkuZ6vXhFMcGg
117,Piece Of Your Heart,MEDUZA,569062,https://open.spotify.com/track/5p1ex0pXv6jSPJ6QbumQpD
118,Cataleya,Samra,562754,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR
119,Deine Mutter,Kool Savas,551672,https://open.spotify.com/track/4y8xXLG9O3Rbl6e1KaNRTG
120,wish you were gay,Billie Eilish,547207,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
121,Kokain,Bonez MC,542338,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf
122,Be Alright,Dean Lewis,541404,https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k
123,Dior 2001,RIN,536269,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
124,WTF (feat. Amber Van Day),HUGEL,533876,https://open.spotify.com/track/0gn93i7HJt0calph67R5Wu
