,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
108,"The Christmas Song (Merry Christmas To You)","Nat King Cole",6230127,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
109,"Nice To Meet Ya","Niall Horan",6225972,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
110,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",6208572,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
111,Panini,"Lil Nas X",6194451,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
112,"Stuck In A Dream (feat. Gunna)","Lil Mosey",6181320,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
113,"Ne reviens pas",Gradur,6165516,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
114,"thank u, next","Ariana Grande",6155603,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
115,"rockstar (feat. 21 Savage)","Post Malone",6148442,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
116,"Hate Me (with Juice WRLD)","Ellie Goulding",6131473,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
117,"Shape of You","Ed Sheeran",6086593,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
118,"SICKO MODE","Travis Scott",6061390,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
119,Camelot,"NLE Choppa",6057924,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
120,"Combatchy (feat. MC Rebecca)",Anitta,5997619,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
121,"Have Yourself A Merry Little Christmas","Sam Smith",5970712,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
122,"Otro Trago - Remix",Sech,5909814,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
123,"Higher Love",Kygo,5896734,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
124,"A Holly Jolly Christmas - Single Version","Burl Ives",5837873,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
125,"Que Calor (with J Balvin & El Alfa)","Major Lazer",5836408,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
126,"Con Altura",ROSALÍA,5828354,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
127,"Dancing With A Stranger (with Normani)","Sam Smith",5804396,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
