,ArtistID,MusicID
132,4WZGDpNwrC0vNQyl9QzF7d,033if6Adj8fwBYsQzHOfQ8
133,71KI7v1YqVU8cIFzBl47dh,034BqEUIVYlkjTZU4CRT9y
134,0Jsk5iYMr5aNjHury7blm1,034EMd06oEtPZ98wsK4p2t
135,18ISxWwWjV6rPLoVCXf1dz,034jxfixe0Gogd6p0reMnP
136,0HDMwoCS316xhKCZlJPBnc,0362SHfDTYXjWFVa8PPY7I
137,0Jsk5iYMr5aNjHury7blm1,036HGg6Bs7n15m99zcnPwZ
138,6zEaCvF0CqEHs7kFyBkLHi,036NjfC7XOsmhds5tlNWUT
139,74KM79TiuVKeVCqs8QtB0B,03B2SfXuvDh1m9F4tqrX07
140,1Ffb6ejR6Fe5IamqA5oRUF,03CbQgFxnBFoaaVJTfEqMD
141,1gPhS1zisyXr5dHTYZyiMe,03ERnTvSV5fy8WAyvA4uNP
142,374sWpAJsbZckf98df2jJJ,03EcqaAMg58r10dgbl0o6y
143,6zEaCvF0CqEHs7kFyBkLHi,03IS2iOegM0fawq6wid44m
144,0hCNtLu0JehylgoiP8L4Gh,03It1uO69CjGWP3yyVe465
145,17aoRCzkZM3IFEbFqVCuX5,03JMjrsnUgeZNJ5yUJgWbL
146,3ZuBEj9ppJe8GSdKaMTfMN,03MejMhKBHTeuvgiBTDUhL
147,09E5z6upwkmwTKX8LGQgMo,03O32oEi0jJsbmcHMjCPBD
148,7dlqUnjoF2U2DkNDMhcgG4,03Pg5wDlaYAZlTNLeAfl2r
149,5adKMaYrGOMyOfnbiLPuHg,03SXU2fYsqJRpiOGbff1s9
150,2NJWI8byqTSqDaJRnqJY2z,03SfDYmOPflD23iTL5qjiq
151,4gzpq5DPGxSnKTe4SA8HAU,03T4ttRCiLXST6MZjeMwmR
152,55Aa2cqylxrFIXC767Z865,03TzvVWdkVbLT9pzewYiDw
153,1iNqsUDUraNWrj00bqssQG,03XfngWwNfhEjrnEga73Rg
154,2UwqpfQtNuhBwviIC0f2ie,03aduXwm6cTqO9bb4XFQ2b
155,2kXKa3aAFngGz2P4GjG5w2,03cOUvF1fyW60AuUfUNiDc
156,15UsOTVnJzReFVN1VCnxy4,03eJ2DclFWXYU8GWgANdmZ
157,00FQb4jTyendYWaN8pK0wa,03hqMhmCZiNKMSPmVabPLP
158,6jGMq4yGs7aQzuGsMgVgZR,03i4lR6ZZo0214WhmrE8t9
159,3Nrfpe0tUJi4K4DXYWgMUX,03iCbZaM4OkRR4We6wIzvx
160,6fYEeLBc96CguiLq9FPBQU,03jOPJpObfGDPUHdb8uLUe
161,6ASri4ePR7RlsvIQgWPJpS,03m2VS3eYqKwbHvEykTYl5
162,6KImCVD70vtIoJWnq6nGn3,03mMSLEJCPoGJwQhHpN5y0
163,0QHgL1lAIqAw0HtD7YldmP,03nPEoQOYMuDe7KmGljpmd
164,6sFIWsNpZYqfjUpaCgueju,03o4HPzUwftpgAPNQSuaBS
165,2yEwvVSSSUkcLeSTNyHKh8,03sEzk1VyrUZSgyhoQR0LZ
166,6UCQYrcJ6wab6gnQ89OJFh,03snIuKJr5u7zpyp9zpQMU
167,6HCBnyTBSLdb3TFn2ayulY,03tc8CfxVQkeU49LV4tRxi
168,7n2wHs1TKAczGzO7Dd2rGr,03vyB3AHCuEGfhh7wPc7Yf
169,7z2avKuuiMAT4XZJFv8Rvh,03x2rVJRFUrvwlfxoHd9Mo
170,7rTPCNINGzMp3Hc8Xqht5Z,03xpHogfjfi2uif4HZKOYd
171,7DuTB6wdzqFJGFLSH17k8e,042nVrQvpEVrsrW6yeeHB2
172,5X4LWwbUFNzPkEas04uU82,042x9bsUBWW2fJgJ6fUh61
173,4MCBfE4596Uoi2O4DtmEMz,0440JCJyIAmINA8KcYgFb5
174,5qeFPM2PZUCzcpkY4e4RC8,0441e6ieXItbPVUl5pNeVO
175,3iOvXCl6edW5Um0fXEBRXy,044qU7kwVZaDwzWnRsmVVL
176,4vtz0m60CCrcsQmqDunDIR,044vzxTq3zEHrcfd805NK2
177,1dID9zgn0OV0Y8ud7Mh2tS,045SnNDjOfOLKM5OxARH4g
178,50mdotNCJ2PcoZiAgsh8dY,047xSG6BBbo0TYFiQ7Ps6i
179,3rbtPd0NcvhO2AzMfzx90z,048rA2xbxWQ1lfurZl7nUQ
180,6INEFmHKLhMIJAQzHUBAMd,048uWGSGTnQhaZFjTCVPZX
181,1ntQKIMIgESKpKoNXVBvQg,04B2aL2KfXGu2ioE30BdjH
182,7DUTsWY3RBd64vh8UtgtYA,04CbLJRm3XwOsGZt8mDqbj
183,3wjsrpfO6odEphTZWx45RQ,04CttTezSnv71USiiG9mIo
184,6Te49r3A6f5BiIgBRxH7FH,04DQPJA3FWKdIvDaMsnMdv
185,60d24wfXkVzDSfLS6hyCjZ,04DwTuZ2VBdJCCC5TROn7L
186,5r8cx09Wdz9YeIbDhzfnna,04DysC7XwYiKJqYwGM8mkU
187,1HzcHe0WFm4koBalCEOkVh,04EuDx4WKmkN9NyZ6kk5lj
