,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
153,"WHATS POPPIN","Jack Harlow",264920,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
154,"Talk (feat. Disclosure)",Khalid,264850,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
155,Lalala,Y2K,264315,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
156,"rockstar (feat. 21 Savage)","Post Malone",263848,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
157,Robbery,"Lime Cordiale",263704,https://open.spotify.com/track/4SRtBFocTtcaWP3etJb7GK
158,"Hate Me (with Juice WRLD)","Ellie Goulding",262726,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
159,2002,Anne-Marie,261755,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
160,Riptide,"Vance Joy",261725,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
161,"Heavy Hearted","The Jungle Giants",261601,https://open.spotify.com/track/3yXgttblOo006gd4eGOvw1
162,"Woke Up Late (feat. Hailee Steinfeld)","Drax Project",260687,https://open.spotify.com/track/4oPWkP9zQ5ANBbfdHGOvKF
163,Eleven,Khalid,260667,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
164,"Only Human","Jonas Brothers",259449,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
165,Africa,TOTO,257915,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
166,Ransom,"Lil Tecca",256959,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
167,"CITY OF ANGELS",24kGoldn,256154,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
168,"The Git Up","Blanco Brown",255411,https://open.spotify.com/track/2KKijf6Ett4kmVNJze2roh
169,"If I Can't Have You","Shawn Mendes",253743,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
170,"Tomorrow's Dust","Tame Impala",253580,https://open.spotify.com/track/666PdikRnUzdvjT9p5wWND
171,"Shape of You","Ed Sheeran",253259,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
172,"Dancing On My Own","Calum Scott",252117,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ
173,"No Effect","Hooligan Hefs",252004,https://open.spotify.com/track/6Z4vonpOado2slZz4XFf0P
174,I.F.L.Y.,Bazzi,251884,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
175,"Vossi Bop",Stormzy,251816,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG
176,"Slide Away","Miley Cyrus",251511,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
177,"Dancing With A Stranger (with Normani)","Sam Smith",251068,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
178,"Used To Love (with Dean Lewis)","Martin Garrix",250871,https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP
179,1955,"Hilltop Hoods",250643,https://open.spotify.com/track/6oSmp7qnvAxUXeUKhl67a6
180,Shotgun,"George Ezra",248378,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
181,"bury a friend","Billie Eilish",248369,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
182,E.T.A.,"Justin Bieber",247734,https://open.spotify.com/track/6PzOPrXx8tJEqace76yrv2
183,"MIDDLE CHILD","J. Cole",247408,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
184,"Party In The U.S.A.","Miley Cyrus",246639,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
185,"Good News","Mac Miller",244570,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
186,VIBEZ,DaBaby,244527,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
187,"On Track","Tame Impala",241292,https://open.spotify.com/track/0IuE6FnXPCdZ8NLuuvJRhb
188,"fuck, i'm lonely - from “13 Reasons Why: Season 3”",Lauv,240512,https://open.spotify.com/track/2B7oyUTr2pCsUqPy4bgiYB
189,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",240081,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
190,"Cosby Sweater","Hilltop Hoods",239124,https://open.spotify.com/track/6myDPrp86x4Lhyp5aqU0EV
191,SAD!,XXXTENTACION,238633,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
192,"Dreams - 2004 Remaster","Fleetwood Mac",237513,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
193,"All of Me","John Legend",237310,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
194,"Better Now","Post Malone",237234,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
195,"Don't Stop Believin'",Journey,237079,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
196,"Johnny Run Away","Tones And I",236069,https://open.spotify.com/track/0vHmuAr3iAuGBAqMmraa05
197,"Never Really Over","Katy Perry",235389,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
198,"Hold Me While You Wait","Lewis Capaldi",235346,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
199,"Take It Out On Me","Justin Bieber",235264,https://open.spotify.com/track/39nTNk5MfyiiRupTwn1iyC
200,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",233186,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
