,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
88,Splashin,Rich The Kid,336541,https://open.spotify.com/track/3KLo7ByvjCNyBrfz5DZ2mO
89,Body (feat. brando),Loud Luxury,334562,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
90,Wow. - Remix,Post Malone,334455,https://open.spotify.com/track/0fcq51a3gOI6gPvzc0YLsk
91,Red Room,Offset,333506,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq
92,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,333448,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
93,Nonstop,Drake,329705,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
94,Walk Me Home,P!nk,328171,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
95,I Like Me Better,Lauv,326949,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
96,MIA (feat. Drake),Bad Bunny,323240,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
97,Pure Cocaine,Lil Baby,322081,https://open.spotify.com/track/577YBGuskWkVDCxZrLRB4v
98,Fast,Juice WRLD,317545,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
99,Beautiful Crazy,Luke Combs,316799,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
100,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,314593,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
101,Bluffin',Khalid,313837,https://open.spotify.com/track/42w7pX3r1TpLR0i55Ek5ND
102,Girls Like You (feat. Cardi B),Maroon 5,306233,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
103,Alive,Khalid,305911,https://open.spotify.com/track/12VqHHz4wvVcnEdSivjLeQ
104,Psycho (feat. Ty Dolla $ign),Post Malone,305196,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
105,Noticed,Lil Mosey,304112,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
106,Moonlight,XXXTENTACION,301842,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
107,Undrunk,FLETCHER,297092,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d
108,I Like It,Cardi B,286942,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
109,Tap (feat. Meek Mill),NAV,284281,https://open.spotify.com/track/5rU6kDNXZLXIinFezpbWbO
110,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,284192,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
111,goodbye,Billie Eilish,283805,https://open.spotify.com/track/3LgWsmilsrWXiPYQFRD0T7
112,Wake Up in the Sky,Gucci Mane,283227,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
113,Legacy (feat. Travis Scott & 21 Savage),Offset,280475,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99
114,Heaven,Khalid,278720,https://open.spotify.com/track/0Hgqglypzt6Qs5Duqskcqs
115,This Feeling,The Chainsmokers,278709,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
116,idontwannabeyouanymore,Billie Eilish,276422,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
117,God's Plan,Drake,276059,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
118,Ric Flair Drip (& Metro Boomin),Offset,275851,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
119,Armed And Dangerous,Juice WRLD,275098,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
120,Tequila,Dan + Shay,274372,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
121,KIKA,6ix9ine,274006,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
122,Hear Me Calling,Juice WRLD,271289,https://open.spotify.com/track/13ZyrkCDmRz5xY3seuAWYk
123,No Stylist (feat. Drake),French Montana,269383,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
124,Look Alive (feat. Drake),BlocBoy JB,267563,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
125,Money,Cardi B,264402,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
126,Young Dumb & Broke,Khalid,263926,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
127,ocean eyes,Billie Eilish,263091,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
128,Beautiful (feat. Camila Cabello),Bazzi,261214,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
129,On My Way,Alan Walker,260902,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
130,Last Hurrah,Bebe Rexha,260055,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
131,Never Go Back,Dennis Lloyd,259798,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR
132,Sanguine Paradise,Lil Uzi Vert,257303,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
133,I Fall Apart,Post Malone,256825,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
134,2002,Anne-Marie,255823,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
