,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
128,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,653201,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
129,Post Malone (feat. RANI),Sam Feldt,653175,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
130,Alphagenetik,Kollegah,649478,https://open.spotify.com/track/4OFjouo9k1ue1SEEOiwMe5
131,Legends,Juice WRLD,642580,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
132,Letzte Träne,Kontra K,632634,https://open.spotify.com/track/1FuJKBi6XdFyf8Yzmck468
133,Rockin' Around The Christmas Tree,Brenda Lee,631701,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
134,Stars,VIZE,625863,https://open.spotify.com/track/0TId5TSbdcBP32haUV4Aet
135,Run Run Run,Capo,622844,https://open.spotify.com/track/65NX0qTlnZTDYzTypKfOWD
136,SHIRINBAE,Fler,621651,https://open.spotify.com/track/4Eudc7cdrFkbMeYxUwxt9e
137,Prinzessa,Capital Bra,620586,https://open.spotify.com/track/0Tq0EhQpVeQJwV3E3P5Jti
138,Sakrileg,Kollegah,619960,https://open.spotify.com/track/2CJwbhWVbWVhX0J8eDYRbg
139,Watermelon Sugar,Harry Styles,615370,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
140,Have Yourself A Merry Little Christmas,Sam Smith,613711,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
141,No Idea,Don Toliver,612398,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
142,Warum lügst du?,SSIO,611952,https://open.spotify.com/track/7FZDvXngaQHYMHsFSp5gZ7
143,Valhalla,Kollegah,610127,https://open.spotify.com/track/06uqeKPXYhw6jSeqv9j4lW
144,Offenes Verdeck,Kollegah,610009,https://open.spotify.com/track/6muFoXcoMngQlHGW8I0azF
145,Old Town Road - Remix,Lil Nas X,609960,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
146,Der Boss is Back,Kollegah,605150,https://open.spotify.com/track/0hpNTCTgIcW9yW1vBtxsgk
147,Bei Dir,KUMMER,604151,https://open.spotify.com/track/3XpEKPj7KZt0yYWd7PQf5d
148,Rudolph The Red-Nosed Reindeer,Dean Martin,602563,https://open.spotify.com/track/2L9QLAhrvtP4EYg1lY0Tnw
149,All Around The World (La La La),R3HAB,594506,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
150,Nautilus,Shindy,592266,https://open.spotify.com/track/4qOTcNt9fUBA1PhA2VFg8W
151,Veni Vidi Validus,Kollegah,591548,https://open.spotify.com/track/1xgp3qfYBmegdTn46ekEyT
152,cOcO MAmA,Dardan,588804,https://open.spotify.com/track/3rn5zo49rHQdIR4G8wvXNb
153,The Best Side Of Life,Sarah Connor,586010,https://open.spotify.com/track/5XM67HdnPub0nMDqJEUPdy
154,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,577803,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
155,Christmas Lights,Coldplay,577405,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
156,Robbery,Juice WRLD,575660,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
157,Keine Fragen,Apache 207,569526,https://open.spotify.com/track/6jbzGtCG4O7GDWYB224h9C
158,Affalterbach,Shindy,569348,https://open.spotify.com/track/2e3bkN2QCScPUnUQiA9ZA4
159,Sweet but Psycho,Ava Max,569106,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
160,Trinität,Kollegah,569045,https://open.spotify.com/track/65L71Bqnnj4BkfCn5C3Ffw
161,I'll Be Home,Meghan Trainor,568917,https://open.spotify.com/track/0lTurWECr2XL607eJAj1A3
162,Berlin lebt wie nie zuvor,Capital Bra,565992,https://open.spotify.com/track/2pfio0uHpT4USTPBNeTIWo
163,HULI,SSIO,562979,https://open.spotify.com/track/4RUFTwYcnAUYyuk1lMRkjj
164,Primetime,Summer Cem,562332,https://open.spotify.com/track/4mHssPrHQI9DUjRiFrPCvb
165,DNA,KC Rebell,562125,https://open.spotify.com/track/43DtCXAz2qUJ4YiTX6ICT0
166,Sleigh Ride,The Ronettes,558094,https://open.spotify.com/track/1ODZGydlown4VesUP8HLJX
167,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,557509,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S
168,Dior 2001,RIN,553613,https://open.spotify.com/track/6WusSsncC0Oo9sFHKwQii6
169,Ist Ok,Lil Lano,550613,https://open.spotify.com/track/66Syv8Aw7i0iLvEHGjHHvi
170,Vincent,Sarah Connor,546796,https://open.spotify.com/track/7vs1Yi6SUphHp0eW6ys8HG
