r,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
86,Selfie,Kianush,727232,https://open.spotify.com/track/6Mh8pbqMleIxio197Ps5sp
87,Without Me,Halsey,712857,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
88,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,701352,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
89,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,693696,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
90,"break up with your girlfriend, i'm bored",Ariana Grande,688546,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
91,when the party's over,Billie Eilish,686783,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
92,Cataleya,Samra,680389,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR
93,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,676918,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
94,Casanova,Summer Cem,669859,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40
95,Body (feat. brando),Loud Luxury,666826,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
96,Say My Name,David Guetta,663000,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
97,Träume werden wahr,MERO,660684,https://open.spotify.com/track/2GxHx0bbc0BK7Z0ChMJUtO
98,wish you were gay,Billie Eilish,658839,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
99,Happier,Marshmello,657996,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
100,don't lie to me,Lena,653446,https://open.spotify.com/track/6hyl5rtrQw0FyGOWueYQsd
101,Kokain,Bonez MC,646327,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf
102,Copacabana,Leon Machère,637984,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH
103,Bentley,Kay One,637430,https://open.spotify.com/track/44g9PSXJctIwkIoyoYIRRV
104,Hallo Hallo,Azet,634319,https://open.spotify.com/track/0RjhrAgD7bSYBi0fyqX616
105,WTF (feat. Amber Van Day),HUGEL,633719,https://open.spotify.com/track/0gn93i7HJt0calph67R5Wu
106,DODI,Shindy,633027,https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H
107,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,629227,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
108,Dancing With A Stranger (with Normani),Sam Smith,623572,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
